stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,43.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0
  5-6,0,63.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.96,0.94,2.19,0.94,0,0,0,0,0,0,0,0,0,0,1.18,0.85,14.84,1.61,0,0.82,2.1,3.16,0,0,0.85,6.3,0,0,0
 24-34,0,0,0,0,0.62,0,5.88,0,0,0,0,0,0,0,0,0,0,3.81,2.18,56.69,0,0,0,0.71,0,0,0,0,8.21,0,1.04,0
 36-46,0,0,0,0,0.94,0,6.58,0,0,0,4.89,0,0,0,0,0,0,1.57,0.84,51.04,0,2.21,0,0,0,0,0,0,19.76,0,0.68,0
 48-58,0,0,0,0,0.6,0,7.3,1.43,0.47,0,5.98,1.15,0,0,5.19,1.05,1.52,3.08,0.39,60.92,7.32,0.39,2.31,1.15,0,0.65,0,0,14.79,0,0,0
 60-70,0,0,0,0,0,0,16.51,0,0,1.18,2.88,0,0,0,0.85,0,0,1.31,0,32.41,0,0,3.17,0.83,0,0,0,0,7.59,0,1.37,0
 72-82,0,0,0,0,0,0,24.24,0,0,0,5.15,0,0,0,0,0,0,6.64,0.9,38.85,0,7.4,1.73,1.91,0,0,0,0,12.42,0.53,0,1.55
 84-94,0,0,0,0,0,0,3.46,0,0,0,2.31,0,0,0,0,0.73,0,10.99,0.84,14.83,0,0,5.24,2.23,0,0,0,0,0,0,1.17,0
 96-106,0,0,1.19,0,1.62,2.32,29.72,0,0,0,4.05,0,0,0,0,2.39,0,10.37,0.7,20.41,0,0.67,0,2.19,0,0,0.87,0,9.92,0,1.73,0
108-118,0,0,0.85,0,3.74,0,30.07,0,0,3.18,6.2,0,1.34,0.45,3.09,0,0,8.01,0,59.42,0,1.43,1.04,2.96,0,0,0.56,0,0,0,1.13,0
120,1.19,0,0,0,0,0,28.15,0,0,0,4.05,0,1.01,0,0,1.77,0,8.63,0,29.82,0,0,0,1.5,0,0,0,0,0,0,0,0
