stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,6.8,49.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,16.6,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.35,0,4.74,0,0,0,0,0,0,0,0,2.81,0,6.28,53.61,0,0,0,0,3.55,9.9,5.04,0
 24-34,0,0,0.68,3.91,0,6.09,0,0.62,0,0.84,0,0,0,0,8.62,0,4.45,42.46,0,0,1.42,3.3,0,1.27,13.22,5.36
 36-46,0,0,0,1.79,0.76,1.83,0,1.19,0,1.58,0,0,0,0,7.26,0,3.36,41.58,0.62,0,0,4.22,0,0,4.48,0
 48-58,0,0,0,0,0,4.39,0.58,0.51,0,4.06,0,0,0,0,4.34,0,0.48,28.85,5.2,0,0,0.47,0,0,7.56,0.81
 60-70,0,0,0,6.21,0,4,0,1.28,0,1.02,0,0,0,5.54,17.69,2.5,0,20.87,0,0,0.71,7.65,0,0,3.71,0
 72-82,0,0,0.75,1.95,0,6.25,0,0,0,7.72,0.53,1.41,0,0.53,14.7,0,4.4,7.05,0,0,0,1.27,0,0,1.45,0.63
 84-94,0,0,0,1.81,0,5.11,0,0,0,14.65,0,0,0,0,1.53,1.19,0,12.07,0,0,0,3.73,0,0,0,0
 96-106,0,0,0,0,0,1.77,0,0,0,1.06,0,0.88,0.66,0,7.1,0.73,0,9.04,0,1.51,1.14,0,0,0,0,1.25
108-118,0,0,0,1.79,0,0.56,0,0,0.6,0.58,0,0,0,0,9.76,0,2.71,21.14,0,0,8.11,0.47,0,0,0,0
120,0,0,0,0,0,0,0,6.38,0,14.72,0,0,0,0,23.95,0,1.82,0,0,0,0,1.7,0,0,0,5.34
