stage,axial,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,8.72,0.98,0,2.37,0,0,2.43,0,0,0,0,0,0,0,0.98,0,0,2.38,20.05,10.87,0,0,0.96,0,1,2.03,3.69,0,0,4.44,11.67,0,0.89,0,0
 24-34,0,7.56,0.68,0,5.36,0,2.01,1.8,0,10.81,0,0,0,0.93,0,7.94,0,0,2.61,53.87,125.79,0.65,0,0,0,4.12,0,0,0,0,0,16.7,0,4.25,0,0
 36-46,0,8.31,0,0,15.65,6.34,1.26,2.17,0,17.2,9.07,0,0,0,0.83,17.91,1.78,0,2.91,54.62,254.86,0,0.8,0,0,4.92,0,0,0,0,0,14.77,0,0,0,0.98
 48-58,2.31,3.11,0,0,44.29,1.27,19.91,7.21,0,7.06,0,0,0,0,0,53.52,0,0.69,5,68.17,226.08,0,0.43,0,0,6.23,0,0,0,0,0,24.02,0.51,1.33,0,0
 60-70,0,0.71,0,0,13.29,0,12.08,2.59,4.27,2.21,3.71,0.67,0,0,0,103.22,0,0.65,8.3,96.73,127.99,0,0,0,2.69,5.95,0,0,1.24,0,0,4.5,3.78,0,0.91,7.3
 72-82,0,9.15,0,0,31.21,0,4.49,4.13,1.84,2.15,0,0,0,0.97,3.11,102.67,0.75,4.73,11.89,79.8,52.19,0.53,2.83,0,0,0.75,0,0,2.57,0,0,5.62,2.59,0,9.77,0
 84-94,0.62,11.79,0,0,25.66,0,21.63,2.58,9.64,2.4,0,1.15,0.67,0,2.57,73.19,4.59,2.9,3.7,56.69,125.15,0,2.11,0,7.92,4.6,0,0,0,2.86,0,1.07,6.71,0,9.65,0.8
 96-106,0,1.65,0,0,16.46,0,3.51,0,9.92,3.48,0,0,0,0.84,2.44,127.81,0,5.03,1.41,59.26,39.87,0,0.74,0,4.92,1.05,0,0,0,3.25,0,8.78,21.43,0,17.22,0
108-118,0,3.17,2.07,0.57,6.75,0,4.94,0.63,14.02,1.15,0.64,0.75,0.56,0,1.82,125.81,3.49,7.93,2.42,59.33,47.18,0,1.6,0,13.81,4.4,0,0,0,3.63,0,0,4.99,0,21.32,0
120,2.37,4.42,0,0,6.12,0,12.38,4.59,48.42,4.91,1.19,0,0,0,5.33,119.01,1.15,15.95,6.31,99.1,47.78,0,0,0,34.35,0,0,0,0,1.21,0,0,43.45,0,14.65,0
