stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  3-4,26.22,56.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,112.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.72,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.85,0,9.36,0,0,0
 10-12,0,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,3.5,0,0,0,2.04,0
 24-34,0,0,0,6.78,0,1.29,0,0,0,0,0,0,0,0.8,1.22,0,0,20.01,0.75,0,3.71,5.98,0
 36-46,0,0,0,0,0.57,0,0,1.28,0,0,0,0,0,0,0,0,0.78,30.51,2.98,0,2.38,7.55,0
 48-58,0,0,0,0,0,4.85,0,2.8,0,0,0,0,0,0,1.86,0,0,29.51,0,0,0,7.94,0
 60-70,0,0,0,0,0,7.29,0.83,1.07,0,0,0,0,0,0,0,0,0,32.99,0.62,0,0,3.06,0
 72-82,0,0,0,0,0,10.21,0,3.65,0,0,0,1.42,0,0,1.93,0,0,29.48,0,0,0,3.39,0
 84-94,0,0,0,0,0,8.37,0.59,0,0,0,1.04,0,0,0,2.08,0,0,11.45,0,0,0.72,0,0.75
 96-106,0,0,0,0,0,9.88,0,4.09,10.16,0,0,0,9.15,0,1.2,0,0,17.04,0,0,0,6.36,0
108-118,0,0,0,0,0,2.64,0,7.64,1.56,0,0,0,0,0,0,0,0,10.01,0,0,0.7,0,0
120,0,0,0,0,0,21.95,0,2.33,0,6.41,0,0,0,0,0,3.51,0,43.95,0,0,20.04,1.74,0
