stage,axial,blastomeres,endoderm,epidermis,eye,glial,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,0,152.96,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94,0,0,0,0
  5-6,27.31,340.37,0,0,0,0,0,0,0,0,0,0,15.57,0,0,0,0,0,0,0
  7-9,3.82,14.01,3.37,0,4.49,0,0,0,0,0,0,85.97,0,0,38.89,0,0,0,0,0
 10-12,0,4.98,0,0,19.24,0,0,0,0,0,0,62.12,5.7,0,26.6,0,4.19,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,15.47,0,0,0,0,2.93,1.03,4.99,0
 24-34,0,0,0,0.98,1.51,0,0,0,2.11,0,0,10.41,0,0.63,0,0,0,0.75,2.36,0.73
 36-46,0,0,0,0,1.42,0,0,0,3.13,0,0,7.14,0,0,0,0,0,0,1.74,0
 48-58,0,0,0,0,2.86,0.88,0,0,1,0,0.77,1.14,0,0,0,0,0,0,0.56,0
 60-70,0,0,0,0,4.97,0,0,0,1.33,5.67,0,1.91,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,5.43,0,1.63,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.9,0,0,0,1.11,0,0,0.66,0.94,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.57,3.34,0,0,0,0,0,7.02,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.59,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,4.58,0,0,0,0,0,0,1.47,0,0,0,0
