stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.49,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,12.1,0,0,0,0,0,0,0,0,0
 14-21,0,16.89,1.27,0.98,0,0,0,0,0,0,2.49,5.23,0.93,0,0,2.54,0.86,1.07,0,0,0
 24-34,0,19.37,0,0.78,0,0,0,0,0,0,0,11.43,0,0,0,0,0,3.45,0.69,0,1.65
 36-46,0,8.38,0,0,0,0,0,0.65,0,0,1.1,18.57,0,0,0,0,0,3.69,0,0,0
 48-58,0,1.53,0,3.38,0,2.6,0,0,0,1.83,1.39,22.99,0,0,0,0,0,0.88,0,0,0
 60-70,0,14.79,0,4.43,0,0,0,0,0,0,0.7,26.36,0,0,0,0,0,2,0,0,0
 72-82,0,18.03,0,0.51,0,0,0,0,0,0,1.08,22.79,0,0,2.74,0,0,6.67,0,0,0
 84-94,0,40.84,0,2.14,0,0,2.58,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0
 96-106,0,27.17,0,2.53,0,0,1.04,0.95,0,0,1.42,19.62,0,0,3.03,0,0,0,0,0,0
108-118,0,31.87,1.33,10.8,0,2.8,2.91,0,0.44,0,0,25.79,0,0,0.69,0,0,0,0,0,0
120,0,44.79,15.53,19.82,2.96,0,1.51,0,0,2.5,1.7,11.76,0,0,0,0,0,0,0,8.22,0
