stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.92,70.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,65.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.98,21.35,0,0,43.85,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.29,4.45,0,0,94.87,0,0,6.79,0,20.12,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,0.81,0.95,0,3.4,0,0,0,5.14,0,0,0,0,0,0,2.42,0,13.6,0,16.41,64.14,10.1,0,0,0.9,0,0,0,12.4,0,10.65,16.58,45.93,0,0,1.01,0,2.35
 24-34,0,0,0,0,0,0,0,30.85,0,0,0,0,0,1.45,0,0,0,0,0,2.49,32.42,0,9.47,276.15,2.47,0,0,0,0,0,0,0,0,0,2.76,77.32,0,0,4.25,0,9.6
 36-46,0,0,0,0,2.35,0,0,136.02,0,0,4.48,6.33,0,0,0,0,0,0,0,1.9,42.77,0,7.32,325.15,0,0,0.97,0,2.85,6.55,0.81,0,0,0,0,76.94,0,0,3.59,0,12.63
 48-58,2.3,0,0,0,0.39,0.65,0,593.68,0,3.56,1.66,32.97,0,0,0,0,0,0.42,7.53,12.33,67.09,3.58,8.05,385.53,1.46,0.6,0.84,0,0,1.44,0,0,0,0,0,96.77,0,0.61,1.05,0,20.18
 60-70,0,0,0,0,4.36,0,0,979.8,4.19,2.09,0.88,25.87,0,0.58,0,0,0,0,1.2,0,93.38,1.93,3.59,402.25,1.12,3.69,1.46,0,0,3.19,0,0,0,0,0,82.58,0,2.87,0.78,0,4.25
 72-82,0,0,0.5,0,3.73,0,0,1142.41,0,0,2.67,59.43,0.56,0,0.49,2.58,2.68,0,0,2.39,120.88,5.75,7.52,432.34,3.52,0,0.55,0,0,0,0,0,0,0,0,44.71,1.21,0.72,4.89,5.17,10.18
 84-94,0,0,0,0,9.99,0.6,0,589.32,0.79,0,6.06,65.04,0,1.04,0,0,5.21,0,2.2,4.39,124,2.16,7.31,273.14,0.57,0,2.87,0,0,0.71,0,0,0,0,0,43.91,0,1.49,11.75,2.01,11.57
 96-106,0,0,0.61,0,4.53,1.58,0,642.09,1,0.81,15.58,65.48,0.56,0,0.58,3.89,10.19,0.78,2.16,0,131.16,0,6.17,248.66,0.7,0,1.36,0,2.94,0,0,0,0,0,0,25.46,0,4.45,18.21,4.2,5.64
108-118,0,0,2.52,0,9.85,2.87,0.5,498.23,0,0,7.3,65.07,0.8,0,0.42,3.26,5.98,0.45,0,1.71,99.51,1.29,5.49,323.35,0.56,0,1.21,0,6.56,0.42,0,0,0.62,0,0,13.22,0,2.16,5.2,2.58,7.33
120,0,0,0,0,4.17,0,1.91,487.76,0,1.05,2.45,115.99,0,0,0,4.92,8.02,0,0,12.27,85.04,0,0,356.14,1.17,2,0,0,0,0,0,0,0,0,0,1.95,0,14.06,0,7.28,1.64
