stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.09,50.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.05,0,0,0,0,0,9.27,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,15.23,0,29.25,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.83,5.09,0,0,0,0,0,0,0,0,20.97,0,0.81,0,0,13.74,0,42.51,0,0,10.62,7.5,5.72,0,0,0,0,49.77,0,3.76,12.67,0,0,0,0,0
 24-34,0,0,0,0,4.63,0.66,0,1.95,0,0,0,1.53,0,0,15.65,2.74,14.92,0,0,1.41,0,9.29,0.62,0.89,7.17,20.63,1.23,0.73,0,0,0,108.78,3.05,0,22.98,0,0,0,0,1.14
 36-46,0,0,0,0,1.61,0,0,2.24,0,2.25,0.58,3.68,0,0,16.03,21.93,17.55,0,0,2.42,0,65.12,0,2.09,15.17,14.55,1.61,0,0.8,0,0,106.66,0,0,20.58,0,0.62,0,0,0.85
 48-58,0,0,0,0,0.43,0,0,6.35,0,0.87,0.44,12.55,0,0,8.32,9.01,4.81,0,0,0,3.4,261.42,0.38,4.69,18.38,96.15,1.07,0,0,0,5.13,73,2.07,0,72.06,0,0.42,0,0,8.36
 60-70,0,0,0,0,12.38,4.44,0,1.05,0,0.85,0,1.28,3.45,0,12.44,36.88,1.13,0,0,4.79,0.95,846.13,0,23.74,32.13,63.26,2.57,0,0,0,8.23,82.94,0.62,0,30.34,0,4.32,0.68,4.43,3.74
 72-82,0,0,0,0,12.24,0.59,0,48.85,0,1.08,4.28,8.74,0,0,26.75,41.78,11.65,0,5.5,6.72,19.11,1619.46,0.95,51.64,92.79,117.3,0.94,0,0,0,49.03,56.26,2.61,0,44.17,3.02,13.8,8.71,17.73,3.43
 84-94,0,0,0,0,23.3,5.31,1.69,48,0,0,3.94,9.5,2,0,23.24,78.32,21.18,1.92,3.82,8.52,29.63,996.39,1.14,58.7,74.31,68.63,5.08,0,0,0,29.7,103.98,13.84,0,34.88,2.89,24.13,4.06,5.07,21.8
 96-106,0,0,6.88,0,20.49,2.72,5.2,36.3,0,2.97,17.57,31.4,2.92,0,65.05,46.33,32.38,0,0,122.29,13.98,1718.55,0.78,57.44,93.31,145.29,3.25,2.72,0.64,0,35.6,105.85,8.33,0,42.51,14.93,33.77,19.66,23.49,30.3
108-118,0,0,4.3,0,32.28,0,11.71,30.69,0,1.05,27.83,16.5,0.43,0,33.1,136.9,23.11,2.04,0,222.15,34.15,1813.7,2.17,86.81,72.63,104.58,5.06,0,0.42,0,44.5,87.69,7.42,0,34.04,4.92,24.75,9.84,8.97,70.86
120,0,0,0,4.41,44.88,3.81,6.64,40.37,5.69,0,4.33,11.1,3.84,0,32.35,179.15,36.57,0,1.74,166.58,36.76,1451.5,1.56,55.8,46.57,96.23,10.9,0,2.28,0,58.07,95.6,10,0,39.23,14.97,8.87,32.09,9.01,30.89
