stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,31.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47,0,0,0,3.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,4,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 24-34,0,0,0.69,0,0,0,0,2.43,0,0,0,0,0,0,0,0.68,0,0,4.19,0,0,0,0,0,0,0,1.56,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,2.29,0,0,0,7.71,0,0,0.71,0,0,0,0,4.43,0,0,0
 48-58,0,0,0,6.51,1.22,0,0,3.28,0,1.89,0,0,0.45,0,12.49,0,0,3.54,7.33,0,0,0.5,0,0,0,0,4.41,0,0.43,0
 60-70,0,0,4.23,2.13,0,0,0,39.55,0,0,0,0.93,0,0,14.75,0,0,0,3.06,0,0,0,0,1.08,0,0,7.87,1.97,0,0
 72-82,0,0,0.67,11.07,3.16,0,0.62,18.61,0,0,0,0,0.79,0,27.94,0,1.85,1.76,8.22,0,0,0,0,0,0,0,4.26,0,4.08,0
 84-94,0,0.81,2.93,20.77,4.78,0.59,0,10.6,2.3,0,1.75,0,1.71,0.57,28.76,0,0.73,1,19.56,0,1,4.93,0,0,1.15,0.62,0.95,0,0,2.07
 96-106,0,1.41,8.69,21.64,4.44,0,0,21.62,7.22,1.22,0,1.38,3.45,3.65,38.97,0,2.15,7.6,9.41,0.98,0.7,4.59,0,1.45,6.55,1.33,0,2.38,2.55,0
108-118,0,1.22,3.8,10.45,8.2,0.6,0,29.53,15.88,0,3.92,1.18,3.61,7.86,56.36,0,1.08,7.82,21.26,1.1,0,3.62,0,0,0,1.8,5.63,0,2.49,0
120,0,0,10.09,31.39,27.77,1.39,12.78,69.09,60.47,4.46,1.61,0,4.1,20.79,24.39,0,9.18,8.05,43.76,1.25,0,2.2,0,0,0,2.89,1.34,0,0,0
