stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,101.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.62,0,0,0,7.18,0,0,0,0,0,0,0,0,0,0
 10-12,15.82,0,0,5.65,0,0,0,0,0,0,0,0,0,0,0,0,146.49,16.9,0,0,18.8,0,0,0,0,0,0,0,0,0,0
 14-21,0,138.13,0,0,10.91,0,0,0.96,0,0,0,0,0,0,0,8.02,76.85,50.87,0,0,0,0,0,2.31,3.39,19.62,0,0,0,0,0
 24-34,0,147.26,0,0.95,83.44,5.94,0,0,2.06,0,0,0,8.07,0,0,1.42,23.54,1.4,0.77,0,0,0,3.42,0,0,3.78,0,0,0,0,0
 36-46,0,11.05,0,0,35.09,17.28,1.44,0,1.45,1.03,0,0,24.87,0,0.89,4.28,14.37,0,0,0,0,0,0,0,0,3.91,0,0,0,0,4.56
 48-58,0,5.14,0,2.77,29.47,57.48,0.85,0,0,0,1.9,0,38.13,0.56,0,6.61,25.43,0.42,0,0,0,0,0,0,0,4.1,0,0,0,0,0
 60-70,0,5.13,0,5.81,33.23,39.16,0,0,0,0.6,0,0,23.05,0,0,5.96,26.78,0,0.98,0,0,0,0,0,0,1.05,0,0,0,0,5.35
 72-82,0,4.82,2.81,2.13,20.73,42.49,0,0,0,0.52,0,0,36.48,0,7.6,8.06,19.64,0,0,0.51,0,0,4.46,0,0,7.01,0,0,0,0,0
 84-94,0,8.13,0,7.33,27.47,48.44,0,0,0,0,0,0,30.57,0,0.69,3.69,2.4,0,1.1,0,0,0,0,0,0,0,0,1.26,0,0,0.7
 96-106,0,17.42,1.25,4.06,27.25,60,2.15,3.53,1.45,0,0,2.23,43.93,1.24,0,2.01,20.89,0,0.97,0,0,0,2.69,0,0,0,0.99,0,0,0.92,6.06
108-118,0,17.14,2.1,14.63,31.79,30.15,2.84,0,0,0,0,0.67,29.08,0,0,2.92,27.84,0.46,0,0,0,1.32,0,0,0,0,0,1.1,0.79,0,1.02
120,0,1.83,0,2.21,13.3,41.35,15.39,0,2.09,0,0,0,46.56,0,0,0,34.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
