stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,15.07,852.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0
  5-6,48.25,667.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.76,0,0,0,9.21,0,14.79,0,0,0,0,0,0,0,0
  7-9,35.04,11.54,4.95,0,0,58.95,0,0,0,0,43.81,0,0,0,0,0,0,0,0,0,0,517.83,29.96,0,0,174.95,0,3.37,3.79,0,0,0,0,0,0,0
 10-12,0,33.77,70.72,0,0,49.24,0,0,0,0,21.85,0,0,0,0,0,0,0,0,0,0,595.97,0,0,0,215.32,0,0,9.81,0,39.68,0,0,0,0,0
 14-21,0,0,3.44,23.19,3.68,8.77,0,0,6.78,3.24,0,1.34,0,0,0,0,0,13.73,0,0,14.29,154.81,3.56,1.09,2.28,2.89,0,15.41,0,12.83,4.18,8.86,45.16,0,0,0
 24-34,0,0,0,6.33,0.88,58.98,0,0.86,10.68,1.69,0,0,0,0,0.63,0,1.33,50.54,0,0,11.25,763.43,0.71,0.6,7.29,0,0,4.04,0,0,0,1.56,144.14,0,4.25,0
 36-46,0,0,0,9.63,0,139.19,0,0,10.91,0,0,0,0,0,1.11,0,0,18.24,1.16,0.68,5.81,436.97,0.56,0.86,1.21,0,0,7.59,0,0,0,0,51.19,0,2.35,0
 48-58,0,0,0,7.38,1.58,163.33,1,1.4,29.56,0,0,0,0,0,0,1.93,0,16.82,0,0.92,4.97,229.29,0,0.8,0,0,0,3.38,0,0,0,0,25.18,0,1.1,0
 60-70,0,0,0,10.26,0,176.45,0,0,7.76,2.36,0,0,0,0,0.67,1.12,0,41.3,0,0,0.6,149.38,0,0,1.38,0,0,0,0,0,0,0,2.19,0,0,0
 72-82,0,0,0,1.46,0,39.21,0,0,14.39,0,0,0.5,2.47,2.21,0,0.61,0,24.36,0,0,1.19,69.03,0,0,0,0,2.41,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.2,4.13,27.18,0,3.72,0,0.63,0,0,1.6,0.56,0,0,0,10.79,0,0,0.56,41.04,0,2.39,0.83,0,0,0.6,0,0,0,0,0,1.4,5.23,0
 96-106,0,0,0,1.51,1.72,16.26,0,0,1.61,0,0,0,0,0,0,0,5.88,2.54,0,0,1.5,25.65,0,0,0,0,0,0,0,0,0,0,5.24,0,0,0
108-118,0,0,0,0,0.52,23.83,0,0,10.2,0.68,0,0,2.82,0,0,0,0,4.95,0,0,2.23,42.68,1.51,0,1.6,0,0,1.31,0,0,0,0,3.06,0,0,1.8
120,0,0,0,14.75,2.82,49.28,0,0,30.41,0,0,5.18,4.02,0,0,0,0,4.13,0,2.08,2.6,140.56,0,0,3.28,0,0,0,0,0,0,0,0,0,25.05,0
