stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.62,132.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.9,398.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.97,4.37,0,4.34,0,0,0,11.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.52,0,0,0,19.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.38,0,0,0,11.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,0,0,73.66,0,0,17.23,0,0,5.09,0,0,0,0,0
 14-21,0,0,0,0,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,86.03,0,4.45,0,0,0,0,0,0,0.9,51.58,0,0,0,0,0
 24-34,0,0,0.61,0,0.86,0,0,4.84,0,0,0,0.63,0,0,0,0,0,0.62,0,0,1.74,0,0,12.02,901.41,0,16.32,0,0,0,0,0,0,0,228.76,0,0,0,0,0
 36-46,0,0,0,0,2.82,0,0,41.97,0,2.56,0,10.27,0,0,0.56,0,0,0,0,0,28.47,0,0,0,3022.21,0,17.24,0,0,0,3.63,0,0,0,440.02,0,0,0,0,0
 48-58,0,0,0,0,12.06,0,0,323.98,0,12.76,3.91,46.38,0,0.58,0,0,4.78,0.95,6.39,2.63,27.1,0.7,0,5.74,5119.79,8.18,11.4,1.54,0,0,0,0.49,0.4,0,736.11,0,0,5.38,0,18.18
 60-70,0,0,0,0,9.55,0,0,828.61,0.69,0.99,9.89,29.53,0,0,0,0,0.9,0,2.11,0,26.69,0,5.13,5.88,5146.08,0,17.1,3.76,0,0,4.71,0,0,0,738,0,0,0.96,0,0
 72-82,0,0,0.91,0,18.86,10.9,0,902.52,0,0.51,0.78,43.5,0.84,0,0,2.21,2.8,0,0,0,27.11,0.93,0.93,6.36,5094.09,0,36.56,1.38,0,0,13.21,0,0,0,580.41,3.52,1.08,0,0.56,0
 84-94,0,0,0.81,0,22.09,3.28,0,715.11,0,0,1.88,43.98,1.65,0,0.65,0,8.25,0,4,11.33,33.38,0,6.68,3.18,3007.71,0,18.56,2.77,0,0,11.9,0,0,0,333.02,1.17,2.39,3.65,0,15.21
 96-106,0,0,0,1.03,11.04,5.54,7.56,613.73,0,0,0,33.76,2.41,0,8.05,0.81,0,0,0,0,43.34,0,0,0,2649.29,0,29.02,1.83,0,0,9.82,0,0,0,160.25,0,0.96,0,0,0
108-118,0,0,0.84,0,23.62,0.96,0,503.96,0.54,0.88,0.5,26.14,0,0,2.7,0,1.44,0,0,0,28.21,1.14,0,0.9,2551.43,0,6.71,0.9,0,3.32,4.58,0,0,0,73.98,0.68,0,6.16,0,0.59
120,0,0,0,0,27.81,3.49,0,441.82,2.29,0,0,49.64,0,0,0,0,0,0,0,0,48.21,16.75,0,1.5,3103.8,8.61,18.29,0,0,0,0,0,0,0,38.96,0,0,8.01,0,0
