stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,153.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0
  5-6,7.58,88.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,0,3.84,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.18,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.69,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.91,0,5.17,0,0,0,0,0,0,0,0,0,0,3.37,0,1.89,0,0,1,24.57,1.23,0,0,0.89,1.25,3.83,0,2.82,6.84,0,4.28,0
 24-34,0,0,0,0,1.45,0,7.99,0,0.66,0,3.4,0,0,0,1.62,0,0,0,9.49,2.78,0,0,0.68,85.61,0,0,0,0,0,2.71,0,0,8.79,0,28.35,9.47
 36-46,0,0,0.85,0,0,0.76,14.98,0,0,0,2.67,0,0,2.15,2.47,0,0,0,4.08,5.85,0,0,1.66,93.59,0,1.26,0,0,0,0,0,0,8.74,0,5.85,5.36
 48-58,0,0,0,0,0.38,0,15.55,0,0,0,7.34,0.58,1.05,1.42,0,0.51,0,0,6.39,7.83,0,0,1.52,101.49,0,0,0.39,0,0,0,0.46,0,22.27,0,4.96,4.28
 60-70,0,0,0,0,0,2.21,50.21,0,0,7.4,9.74,0.81,0,1.96,0,5.64,0,0,2.38,14.08,0,0,1.18,95.68,0,0,6.45,0,0,0,1.5,0,11.97,0,6.67,14.71
 72-82,0,0,0,0,1.6,0,21.15,0,0,1.07,11.39,0,0.58,0.54,0,1.7,0.65,0,1.26,14.92,2.12,4.01,1.18,59.35,0,0,0,0,1.14,0,2.57,0,5.03,0.5,5.94,21.19
 84-94,0,0,3.64,0,0,0.62,38.95,2.16,0,3.01,15.5,4.15,0,1.22,0,3.96,0,0.74,6.8,13.64,0,0.71,2.47,50.96,0,0,0,0,2.33,0,1.12,0,10.22,0,17.4,14.78
 96-106,0,0,0,0,1.3,0,30.77,0,0,0,10.69,0,0.68,1.52,0,0,1.34,0,2.25,6.89,2.09,0,2.06,50.05,0,0,3.36,0,1.72,0,0,0,1.13,0,10.33,8.53
108-118,0,0,0,0,2.66,0.66,27.88,0,0,1.19,4.95,4.6,0,7.17,0.56,3.41,0,0.56,0,7.9,2.9,2.32,0.55,44.29,0,0,0,0,0,0,3.57,0,6.76,0,9.78,1.39
120,0,0,0,0,1.92,1.76,16.64,0,0,0,0,0,0,5.45,0,0,0,0,0,0,0,0,2.84,76.03,0,3.3,1.74,0,2.19,0,2.43,0,0,0,3.46,0
