stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  5-6,16.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.92,0,10.51,0,0,0,0,0,0,0,0,0,15.82,13.17,254.76,0,0,0,0,0
 10-12,0,0,77.88,0,0,0,0,0,0,0,0,0,42.68,46.71,481.75,0,29.04,0,31.5,0
 14-21,0,0,3.81,3.16,0.98,0,0,0,0,0,1.75,45.06,3.88,0,1.89,55.3,0,11.83,340.88,2.63
 24-34,0,0,0,1,0,0,0,0,0,0,7.5,10.82,3.63,0,0,0,0.91,0,25.57,0
 36-46,0,0,0,0,0,0,0.8,0,0,0,3.98,4.7,3.82,0,0,0,0,0,0,7.18
 48-58,0,0,0,0,0,0,0.39,0,0,0,3.8,1.85,0.52,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.93,0,0,0,0,10.37,0.75,11.46,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,14.81,0,0,0.51,0,2.36,1.35,4.76,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,2,0,8.9,0.96,4.21,0,0,0,0,0,0,0
 96-106,0,0.95,0,0,0,0,0,0.87,1.46,0,3.64,0.62,5.96,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.94,0,0,2.12,0.51,1.63,3.66,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,6.71,0,0,3.12,5.29,1.62,0,0,0,0,0,0
