stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,9.41,9.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.79,0,0,0,0,0,0,0,0,0,0,14.14,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.83,0,0,0,0,0,0.99,0,0,6.62,0,0,0.98,1.61,0.88,0,0,0,0,0
 24-34,0,0,0,0,0,2.07,0,0,0,0,0.85,0,0,48.52,0,3.12,0.61,0,0,0,10.8,0,0,0
 36-46,0,0,0,0,0,11.91,0,0,0,0,0.56,0,2.96,78.13,0.64,0,0,1.22,0,0,10.04,0,0,0
 48-58,0,0,0,0,0,13.5,0,4.5,0,0.44,5,0,0,112.42,0,0,0,0,0,0.56,16.53,0,0,0
 60-70,0,0,0,1.05,0,167.49,0,0.81,0,0,12.26,0,0,335.16,0,0,0,4.39,0,0,25.53,0,0,1.92
 72-82,0,0,0,0.58,0,374.06,0,2.98,0,0.79,7.02,0,1.09,358.71,0,0,0,0,0,0,11.55,0,0,0
 84-94,0,0,0,2.58,1.71,213.5,0.74,10.86,0,0,9.81,1.13,0,234.19,0,0,0,0,0,0,6.35,0,1.74,0
 96-106,0,0,0,0,0,198.15,0,2.7,0,0,0,0,0,153.53,0,0,0,0,0,0,16.4,0,0,0
108-118,0,0,0,7.25,5.94,162.6,0,2.9,0.63,0,6.08,0,0,180.67,0,0,0,0,0,0.75,1.77,0.68,0,0
120,0,0,0,3.95,0,87.08,0,17.26,1.61,0,0,0,4.71,464.82,1.57,0,0,0,0,0,0,0,0,4.29
