stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,45.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0,0
  7-9,0,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0,3.37,0,3.43,0,0,0,0,0,0,0,0
 10-12,0,0,8.31,0,0,0,0,0,0,0,14.12,0,0,0,0,0,36.52,0,8.68,0,0,0,0,0,0,0,0
 14-21,0,3.23,0,0,0,0,0,0,0.87,0,0,0,0,2.57,0,0,9.18,0,0,0,0,0,6.7,1.75,5.92,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,5.92,11.46,0,0,0,2.22,0,0,0.64,6.28,0,0
 36-46,0,0,0,0,0,0,0.62,0,0,0,0,0,0,1.37,0,0,12.25,0,0,0,2.91,0,0,0,7.29,0,0
 48-58,0,0.79,0,0,5.79,1.05,0,0,0.6,0,0,0,0,3.55,0,3.08,14.6,0,0,0,0,0,0.68,0,5.71,0,0
 60-70,0,0,0,0,0.72,5.76,0.96,0,0,0.66,0,0,0,17.73,0,2.13,47.2,0,0,0,0,0,2.06,0,15.67,0,0
 72-82,0,0,0,0,5.52,3.92,2.66,0,1.56,0,0,1.53,3.59,21.23,2.52,1.55,59.72,0,0,0,1.22,0,0,0,11.37,0.52,0
 84-94,0,0.67,0,0,21.81,0,1.69,0.91,2.54,0,0,1.13,0,18.59,0,2.07,39.78,0,0,6.05,0,0,4.03,0,1.3,0,1.09
 96-106,0,5.18,0,0,11.57,0,0,0.76,5.55,0.83,0,5.7,0,5.34,0,1.41,94.67,0,0,0,0.57,0,0,0,1.8,0.69,0
108-118,0,0,0,4.17,5.57,1.5,1.01,0,4.82,0,0,4.89,0,6.93,0,2.61,73.72,0,0,1.1,0,0.62,2.27,0,8.49,0,0
120,0,0,0,0,12.68,4.91,0,0,0,0,0,0,0,6.95,0,2.65,87.17,6.93,0,0,1.86,0,1.21,0,1.91,0,0
