stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,1255.52,16594.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.98,0,0,0,0,0,0
  5-6,124.07,999.48,0,0,0,0,0,0,0,0,0,0,0,0,0,6288.06,0,0,0,6.69,8.98,0,0,0,0,0,0
  7-9,15.02,0,0,8.66,0,0,27.18,0,0,0,6.77,0,0,0,0,262.68,6.98,0,0,65.11,0,5130.67,0,0,0,0,0
 10-12,0,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,79.86,15.48,0,0,10.25,0,1475.98,0,13.25,3.24,0,0
 14-21,0,0,0,5.45,15.09,0.95,0,0,1.01,4,0,0,0,6.23,3.15,106.09,55.14,1.1,0,0,0,271.52,7.77,0.94,7.81,4.38,0
 24-34,0,0,0,0.81,8.38,0,0.68,0,0,0,0,0,3.01,0,0.59,4.28,0,1.54,0,0,0,9.55,0,0,3.23,8.57,0
 36-46,0,0,0,0,0.6,0,0,0.88,0,0,0,0,0.7,0,0.83,8.3,0,0,0.57,0,0,21.8,0,0,0,6.6,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1.97,0,0.78,0,0,0,0,3.11,3.46,0,0,0,0.47,0
 60-70,0,0,0.65,0,1.99,0,4.56,0,4.68,0,0,0,0,1.89,0,14.72,0,0,0,0,0,0,0,0.58,0,0,0
 72-82,0,0,0,0,0,0,0,0,3.92,0,0,0,0,2.6,0,8.22,0,0,0.55,0,0,0,0,0,0,0,0.6
 84-94,0,0,0,0,0.66,0,0,0,0,0,0,0,0,8.83,0,8.84,0,0,3.61,0,0,0,0,0,0,2.87,0
 96-106,0,0,0,0,4.21,0,0,0,3.11,0.89,0,0.75,0,0.66,0,4.04,0,0,0.65,0,0,2.63,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0,0,1.81,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0
