stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,35.09,784.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0
  5-6,65.29,1092.51,8.02,0,0,0,0,0,0,0,24.96,0,0,0,0,0,0,0,0,0,0,55.74,0,0,0,9.41,0,6.25,0,0,0,0,0,0,0,0,0
  7-9,0,20.53,17.84,0,0,89.58,0,0,0,0,11.78,0,0,0,0,0,0,0,0,0,0,513.16,18.69,0,0,157.88,0,0,11.11,0,0,0,0,0,0,0,0
 10-12,0,22.57,31.6,0,0,9.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489.42,0,0,0,152.19,0,0,5.33,4.61,45.88,3.24,4.47,0,0,0,0
 14-21,0,0,0.81,11.63,1.2,2.64,0,0,3.36,0,0,0,0,0,0,0,0,8.67,0,0,3.2,139.27,2.11,0,0,0,0,2.41,0,7.69,0,3.69,46.46,0,0,0,0
 24-34,0,0,0,1.56,0,25.29,0.64,0.97,3.45,0.92,0,0,0,0,0,0,0,30.55,0,0,13.27,341.62,0,0,1.84,0,0,2.85,0,0,0.97,0.6,66.02,0,6.1,0,0
 36-46,0,0,0,0,0.88,46.63,0,0,3.92,0,0,0,24.15,0,0,0,1.45,16.06,0.56,0,4.37,156.31,0.82,0,0,0,0,0,0,0,0,0,28.83,0,4.66,0,0
 48-58,0,0,0,1.62,0,78.48,0,0.6,15.44,2.33,0,1.13,0,0.55,0,0,0,23.78,0,6.36,1.35,141.73,0.69,0,0,0,0,2.15,0,0,0,0,28.69,0,0.84,0,0.44
 60-70,0,0,0,1.27,0.68,35.59,0,0,8.63,0,0,0,0,0,0,3.22,0,15.58,0,0,0,58.27,0,0.62,0,0,0,0,0,0,0,0,2.16,0,2.56,0,0
 72-82,0,0,0,0,3.96,33.3,0.78,0.68,15.15,0.95,0,0,0,0,0,0,0,25.2,0,1.88,0.56,32.4,0,1.09,0,0,0,1.13,0,0,0,0,4.19,0.92,2.24,0,0.5
 84-94,0,0,0,0,7.38,14.51,0,0,8.26,0.96,0.66,0,0,0,1,0,0,13.09,0,0.85,0.55,23.18,0,1.71,7.57,0,0,1.23,0,0,0,0,12.41,0,0,0.62,0
 96-106,0,0,0,2.85,9.06,25.17,0,2.38,32.27,0.66,0,0,0.68,4.05,0.95,0,0,20.52,0,1.01,1.32,22.19,0.57,4.04,0,0,0,1.63,0,0,0,0,0,1.68,1.81,0,1.21
108-118,0,0,0,1.82,2.22,27.3,0,1.13,2.84,1.76,0,0,0,0,0.41,0,0,32.61,0,3.17,2.2,38.63,0,0,2.83,0,0.87,0.44,0,0,0.53,0,3.93,2.39,3.78,0,1.42
120,0,0,0,5.41,12.9,10,0,8.1,30.35,0,0,0,1.61,0,0,0,0,7.55,0,0,3.35,34.05,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0
