stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,23.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.46,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,34.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.58,0,0,0,13.5,0,0,0,5.8,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.83,10.41,0,0.96,0,0,0,0,0,0,0,0,0.87,0,0,10.69,0,0,0.82,47.6,0,0,0,0,0,0,2.34,0.85,11.48,0,16.92,0,0,0,0,0
 24-34,0,0,0.6,0,5.12,1.63,3.84,1.45,0,3.03,0,0,0,0,0,0,0.64,3.08,29.2,0.71,0,11.22,188.32,0.7,0,1.57,0,0.99,0.74,0,0.6,0.78,0.6,53.94,0,0,1.42,0,0
 36-46,0,0,0,0,3.05,0,0.73,0,0,9.65,0,0,0,1.92,0,0,0.61,0,18.91,0,0,3.72,177.39,0.55,1.8,0,0,0,0,1.39,2,0,0,53.25,0,0,8.26,0,0
 48-58,1.15,0,0,0,7.48,0,6.64,0.69,0.4,29.9,0,0.61,0.44,0,0,0,0,0,34.64,0.47,2.25,2.77,116.04,0.4,0,1.6,0,0,0,0,0.47,0,0,40.69,0,0,4.51,0,0
 60-70,0,0,0,0,8.2,0,0.83,8.67,1.34,19.51,0,0,0,1.2,0,0,0,0,29.55,0,5.29,0.65,31.2,0,0.58,0,0,0,0,0,0,0,0,8.14,0,0,0,0,0
 72-82,0,0,0,0,2.27,0,6.58,1.26,1.84,19.16,0,0,0,0.59,2.36,0,0,0,65.79,0,3.93,2.4,20.79,0,0,1.26,0,0,0,0,1.45,0,0,6.49,0,0,12.25,1.39,2.83
 84-94,0,0,0,0,10.67,0,15.31,3.25,0,20,0,0,0,1.39,0,0,1.91,0,63.8,0,2.96,0,16.69,0,0,3.7,0,0,0.99,0,0,0,0,2.27,2.86,0,7.7,3.11,0
 96-106,0,0,0,0,13.76,0,20.06,0.63,0.96,9.61,2.7,0,0,7.82,0,0,0,0,45.75,0,1.02,2.47,23.83,0,0,7.45,0,0,2.78,0,0,0,0,0,2.01,0,4.27,1.94,0
108-118,0,0,0,0,24.3,0,21.44,1.89,0,20.26,3.23,0,2.28,2.34,0.45,0,0,0.95,43.42,0,0,0.55,27.36,0,0.7,1.01,0,0.87,0,0,0.75,0,0,0,7.94,0,1.15,0,0
120,0,0,0,0,7.81,0,13.21,2.68,0,5.73,0,0,0,2.32,0,0,2.96,0,22.2,0,0,4.65,9.46,0,0,0,0,0,0,0,0,0,0,0,5.42,3.74,0,0,0
