stage,epidermis,eye,glial,mesenchyme,neural,periderm
 14-21,0,0,0,0,0.81,0
 24-34,0,0.7,0,0,0,0
 36-46,0,0,0,0.95,0,0
 48-58,2.41,0,0,0,2.05,0
 60-70,0,1.1,0,0,0,0
 72-82,0,3.26,0,0,2.66,0.63
 84-94,0,0,0,0,1.56,0
 96-106,0,0,4.9,0,0,2.88
108-118,0,0,0,1.36,0,0
