stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,22.74,350.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.01,0,0,0,0,0,0,0,0
  5-6,23.64,493.64,0,0,0,0,0,0,0,0,0,0,0,22.09,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,15.63,0,0,0,0,0,0,0,0
  7-9,0,34.43,0,7.64,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556.69,0,0,0,290.06,19.35,0,0,0,0,0,0,0,0
 10-12,0,29.82,0,20.49,0,0,0,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.95,7.81,0,0,235.72,4.52,0,9.41,0,0,0,0,0,0
 14-21,0,0,0,0.94,52.35,6.42,0,0.81,0,0,0,26.95,0,0,0,0,0,0,0,0,0,0.83,0,0,1.53,200.59,1.17,4.15,2.01,15.86,34.2,4.88,2.65,0,3.94,226.94,0,2.19,0
 24-34,0,0,0,0.64,186.21,0.86,0,14.81,0,19.54,0,83.55,0.67,0,4.03,0,1.18,0,8.06,0.68,0,6.19,0.84,0,10.7,437.99,0,14.45,12.96,0,204.92,0,26.2,0,4.21,261,0,103.73,0
 36-46,0,0,0,0,282.9,0,0,9.49,0,46.64,0,113.03,0.59,0,0,0,0,0,2.2,0,0.87,2.09,3.75,0.92,0,414.16,0,3.75,17.32,0,225.73,0,15.53,0,0,501.38,0,151.8,0
 48-58,0,0,0,0,237.22,0,0,35.04,0,89.27,7.78,282.52,0,1.19,0,0.81,0,0,5.88,0.39,0.71,5.06,7.52,0,15.5,373.85,0,5.44,8.93,0,110.02,0,17.72,2.16,0,532.6,0,215.01,5.03
 60-70,0,0,0,0,271.64,10.5,0,130,7.43,120.19,1.21,333.38,0,0,0.6,0.67,0,0,13.26,1.06,0,26.84,7.23,0,13.31,360.33,5.14,3.64,14.05,0,97.74,0,15.09,0,0,213.37,0,144.95,13.72
 72-82,0,0,0.88,0,126.37,0.63,0,153.57,6.88,82.14,3.21,376.66,3,0,0.81,1.99,2.39,0,14.67,0,6.42,48.31,1.3,0,0.64,355.19,0,2.79,19.31,0,41.85,0,11.72,3.03,0,41.08,5.88,245.07,2
 84-94,0,0,0,1,262.02,0,0,145.99,20.5,123.64,0,299.7,1.66,0,0,1.54,12,1.67,16.2,0.82,5.08,42.99,4.1,0,0,229.4,0,10.18,35.16,0,132.87,0,31.26,0,0,31.91,7.27,181.28,0
 96-106,0,0,0,0,211.78,1.75,0.59,141.82,22.99,86.17,6.2,286.54,4.7,0,0.71,4.89,3.26,0,20.74,11.04,0,40.67,4.93,0,1.66,248.81,0,8.85,27.02,0,112.49,0,17.26,0,0,14.12,24.16,284.5,9.02
108-118,0,0,0,0,243.81,0,0,158.74,18.61,148.12,1,264.58,6.51,0,0,10.99,4.21,1.15,18.86,1.01,0.47,43.15,2.14,0.76,2.81,183.94,0,6.68,34.74,0,91.03,0,20.1,0,0,10.88,45.54,121.18,0
120,0,0,0,0,216.36,0,0,178.69,16.71,78.55,0,351.63,4.23,0,0,11.08,2.09,0,12.07,0,0,84.63,2.54,0,0,234.75,0,4.13,32.4,0,89.71,0,17.98,0,0,41.59,17.69,277.26,0
