stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,5427.05,53501.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5521.1,0,0,0,0,0,0,0,0,0
  5-6,9339.84,61191.21,0,53.91,0,0,0,0,0,0,0,0,0,723.78,0,0,0,0,0,0,0,1440.75,218.4,0,0,153.19,0,4060.62,0,0,0,0,0,0,0,0,0
  7-9,292.92,1209.15,0,615.57,0,0,0,11016.23,0,0,0,0,0,1248.16,0,0,0,0,0,0,0,27376.4,911.21,0,0,4700,0,292.93,22.54,0,0,0,0,0,0,0,0
 10-12,0,112.84,0,180.94,0,6.59,0,4981.32,0,0,0,0,0,29.5,0,0,0,0,0,0,0,3892.16,1451.93,0,0,284.09,0,13.26,13.71,0,47.29,0,0,0,0,0,0
 14-21,0,0,0,4.68,54.16,20.32,0,7.92,0,0,0,6.95,0,0,76.94,0,0,0,474.99,0,160.19,589.25,1481.05,0,0,0,0,5.07,0,14.46,1.37,1.23,15.72,14.75,0,0.89,0
 24-34,0,0,1.1,1.92,4.39,10.59,0,11.91,0,0,0,1.13,0,0,31.67,0.77,11.61,0,44.88,0,7.1,66.8,168.53,0.75,0,0,1.61,7.97,0,0,0.98,0,0,10.24,0,1.45,0
 36-46,0,0,0,0,3.77,0,0,0.73,0,0,0,0,0,0,13.99,0,0,0,6.05,2.04,6.84,4.43,90.95,0.58,0,0,0,24.02,0,0,0.67,0,0,4.2,0,0,0
 48-58,0.77,0,0,0,0.43,0,0,1.92,0,0,0,0,0,0,7.12,0,0,0,12.97,0,1.49,3.8,33.42,0,0,0,0,2.65,0,0,0,0,0,1.25,0.37,0,0
 60-70,0,0,0,0,0.75,0,0,14.85,0,0,0,4.23,0,0,4.78,0,0,0,15.68,3.2,4.87,4.65,3.39,3.61,0,0,2.04,9.63,0,0,0,1.33,0,0,0.61,0,0
 72-82,0,0,0,0,0,0,0.72,15.58,0,0,2.2,0,0,0,9.7,0,0,0.67,16.31,3.43,12.39,3.37,0,0,0,0,0.83,0.56,0,0,0,0,0,0,1.94,0,0
 84-94,0,0,0,0,0.67,0,0,15.91,0,0.6,0,0,0,0,9.27,0,0,0,16.29,4.42,4.82,14.62,7.31,0.71,1.36,0,0,3.84,0,0,0,0,0,0,4.36,0,0
 96-106,0,0,1.19,0,0,0,1,29.91,0,0,0,0,0,0,8.45,0.59,0,0,8.58,1.03,6.23,3.9,1.05,0.9,0,0,4.88,2.49,0,0,0,0,0,0,0.58,0,0
108-118,0,0,0,0,0.56,0,0.48,12.91,1.51,0,1.17,4.16,1.6,0,7.21,0,0,0,10.81,2.24,9.6,22.5,2.29,0,0,0,1.88,0,0,0,0,0.51,0,0,1.45,0,0.72
120,0,0,0,0,1.02,0,0,32.95,0,0,0,0,0,0,13.62,0,0,0,0,15.68,30.88,24.57,2,0,0,0,2.76,0,0,0,0,0,0,0,0,0,0
