stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste
  3-4,0,84.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.9,233.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,0
  7-9,0,0,10.37,0,0,9.78,0,0,0,5,0,0,0,0,0,0,91.25,5.44,0,0,13.62,0,0,0,0
 10-12,0,0,0,0,0,8.44,0,0,0,0,0,0,0,0,0,0,54.85,0,0,0,24.04,4.52,0,0,0
 14-21,0,0,0,1.13,0,0,0,0,0.9,0,0,0,0,1.16,0,0,5.63,0,0,0,0,0,0.97,0.82,0
 24-34,0,0,0,0.98,0.96,1.35,0,0,0,0,0,0,0,1.73,0,0,8.84,0,0,0,0,3.28,0,1.55,0
 36-46,0,0,0,0.56,0,0.58,0,6.15,0,0,0,0,0,1.48,0,1.35,7.05,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,7.14,0,0.86,0,0,0,0.55,0,1.6,0,0.56,0.88,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.75,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 72-82,0,0,0,0.86,0,9.07,0,0,0,0,1.14,0,0,1.2,0.59,1.03,1.94,0,0,0,0,0.99,0,0,0
 84-94,0,0,0,0,0,11.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,8.4,0,6.91,0,0,0.78,0,1.7,2.74,0,0,0,0,0,0.57,0,2.41,0,0,0
108-118,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0.56,0,0,1.21
120,0,0,0,0,0,10.92,1.23,0,0,0,0,0,0,0,0,0,19.01,0,1.61,0,0,5.19,0,0,0
