stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,iridophores,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.58,0,0,6.71,0,0,0,0,50.98,5.07,0,3.48,0,0,0
 10-12,0,0,0,0,13.88,0,0,0,0,24.22,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.72,1.91,0,0,0,0,1.12,2.21
 48-58,0,0,0,0,0,0,0,0,0,3.14,0,0,0,0,1.69,0
 60-70,0,0,0,0,6.57,0,0,0,0,1.05,0,0,0,5.21,1.26,0
 72-82,0,0,0,0,4.75,0.66,0,0,1.65,0,0,0,0,0,4.07,0
 84-94,0,0,0,0.79,0.79,2.1,0,0,0,1.12,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.6,1.98,0,3.18,0,0,0,0,0,0
108-118,0,0,0,1.61,7.54,0,0,0,0,0.49,0,0.96,0,0,0,0.65
120,0,0,1.81,0,0,0,0,0,8.45,0,0,0,0,0,0,0
