stage,eye,heart,immune,mesenchyme,mural_cell,muscle,neural,pgc
 10-12,0,0,0,0,0,0,0,8.5
 24-34,0,0,0,0.67,0,0,1.53,0
 60-70,0,0,0,0.99,0,0.74,0,0
 72-82,2.12,0,0,10.01,0.65,0,2.12,0
 84-94,0,0,0,3.51,0,0,0,0
 96-106,0,1.57,0,10.56,0,0,0,0
108-118,0,0,0,18.52,0,1.33,0,0
120,4.51,0,1.43,4.74,0,0,0,0
