stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,147.8,2015.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980.56,0,0,0,0,0,0,0,0,0,0
  5-6,21.33,788.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.85,0,0,0,0,2411.18,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.93,0,8.13,0,0,0,23.78,0,0,0,0,82.07,0,0,0,0,0,0,0,0,0,0,0,183.84,11.6,0,0,39.67,517.34,7.62,0,0,0,0,0,0,0,0,0
 10-12,0,4.57,0,6.72,0,0,0,3.35,0,0,0,0,77.25,0,0,0,0,0,0,0,0,0,0,0,80.05,0,0,0,35.89,82.7,0,0,0,0,0,0,0,0,0,0
 14-21,1.85,0,6.22,0,66.95,0,0,0,0,0,0,24.54,0.95,0,0,62.01,0,0,0,0,0.83,10.45,0,0,35.63,0,1.44,0,0,1252.33,0,3.17,10.41,1.72,2.79,4.39,0,0,0,0
 24-34,0,0,2.54,0.76,22.06,0,0,1.45,0.84,0,0,6.35,0.76,0,1.8,39.25,0,0.96,7.68,0,3.93,33.15,0,0.74,318.15,0,88.3,1.39,0,782.77,0,0,10.2,0.88,0,2.81,0,6.28,0,0
 36-46,0,0,0.95,0,17.98,0,0,4.4,5.92,0,0,4.88,0,0,0,32.62,0,7.85,0,0,0,21.97,0,0.63,381.61,0,76.6,0,0,763.65,0,0,5.06,0,0,9.09,0,0,0,0
 48-58,0,0,0,2.41,25.24,0.38,0,17.13,4.82,0,1.86,24.69,17.84,0,0,23.57,0,2.38,12.23,0.41,4.85,21.24,0,0,182.37,0,35.55,0,0,733.92,0,0,0.88,0,0,9.22,0,0,0,0
 60-70,0,0,1.29,0,59.73,0,0,17.29,6.55,0,1.05,96.44,6.45,0,0.78,30.46,0,13.46,4.93,0,0,18.52,0,0,130.97,0,20.2,7.11,0,659.41,0,0,3.19,0,0,2.5,8.39,0,0,0
 72-82,0,0,34.55,4.42,63.15,0,0,59.14,3.36,1.86,13.82,324.02,7.04,0,1.64,83.87,0,19.21,5.44,0,4.06,32.87,0,0,143.41,0,33.17,1.11,0,449.58,0,0,4.52,0,0,0,40.12,4.37,1.19,0
 84-94,0,0,32.49,16.06,150.29,4.42,0,22.27,27.05,0,6.88,659.45,14.17,0,2.4,104.46,0,8.6,25.15,0,10.02,61.93,4.09,10.75,150.86,0,88.55,0,0,1109.85,0,0,14.69,0.59,0,0,106.87,0,0,10.61
 96-106,0,0,43.84,24.64,166.08,1.4,0.62,65.62,17.79,5.39,3.28,817.37,0,2.23,4.31,160.79,0,27.64,21.4,0,10.28,64.46,0,0,218.9,0.59,114.78,5.19,0,841.19,0,0,1.26,0,0,3.78,123.24,0,4.24,4.4
108-118,0,0,20.58,31.89,155.38,0,0,64.33,35.3,0.43,13.72,671.76,0,0,0,137.25,0.82,31.28,35.82,0,17.67,62.59,0,4.91,155.09,0,79.79,0,0,833.11,0,0,11.39,0.5,0,0,127.83,1.84,0.57,0
120,0,0,9.09,15.95,176.24,0,0,21.77,20.38,1.67,13.12,464.06,0,0,2.03,80.86,1.01,30.65,19.52,0,26.13,17.28,0,0,164.68,0,108.36,4.41,0,427.92,0,0,11.42,0,0,0,38.17,0,0,0
