stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.18,0,0,5.26,0,0,0,0,0,0,0,11.28,4.3,0,0,0,0,0,0,0
 10-12,0,16.31,0,0,4.03,0,0,0,0,0,0,0,29.41,28.29,0,0,0,0,0,0,0
 14-21,0,0,0,2.1,0.99,0,0,0,0,3.91,0,0.85,4.82,0,0,0,5.86,3.01,0,0,0
 24-34,0,0,0,0,3.4,0,0,0,0,0,0,0,5.55,0,0,0,0,0.72,0,0,0
 36-46,0,0,0,0,3.81,0,0,0,0,1.29,0,1.36,4.67,0,0.62,0,0,1,0,0,0
 48-58,0,0,0,0,4.02,1.88,0,0,0,0,0,0.64,10.24,0,2.6,0,0,0,0,0,0.83
 60-70,0,0,0,0,4.1,1.15,0,0,0,0.69,0,0,1.69,0,0,0,0,0,0,0.64,0
 72-82,0,0,1.94,0,6.03,1.17,0,0.7,0.61,0.87,0,0,2.95,0,0,3.73,0,0,0.78,1.92,0
 84-94,0,0,0.74,1.08,0.59,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0.69,0,0
 96-106,0,0,0,0,0,0.75,0,0,0,0,0,0,1.86,0,0,0,0,0,0.84,0,0
108-118,0,0,0.58,0,0,1.97,0,0,0,1.99,0.6,0.44,3.24,0,3.56,0,0,0,1.06,0,0
120,0,0,0,0,2.55,0,4.03,0,1.77,0,0,0,0,0,0,0,0,0,1.84,0,0
