stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,0,158.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,225.61,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,11.11,0,0,0,0,0
  7-9,0,0,0,0,18.37,0,0,0,0,0,0,0,0,119.47,0,45.71,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,44.54,0,23.09,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.4,3.03,16.9,0,0,0,1.37,1.04,3.86,0,0
 24-34,0,0,0,0,2.8,0,0,0.97,0,0,0,0.85,0,16.07,0,0,0,0,0.62,3.85,0,0
 36-46,0,0,0,0,2.7,0,0,0,0,0,0,6.1,0,20.24,0,0,0,0,0,4.01,0,0
 48-58,0,0,0,0,3.54,0,0,0,0,0,0,0.78,0,21.04,0,0,0,0,0,1.47,0,0
 60-70,0,0,0,0,4.91,0,0,0,0,0,0.81,0,0,8.28,0,0,0,0,0,1.51,0,0
 72-82,0,0,0.59,0.58,11.34,0,0,0,0,0,0,3.81,0.59,8.22,0,0,0,0,0,0,0.74,2.95
 84-94,0,0,0,0,7.58,0,0.83,1.35,0,0,0,1,0,4.21,0,0,0,0,0,0,1.91,0
 96-106,0,0,0,0,12.04,0,0.59,0,0,0.73,0,0,1.09,3.31,0,0,0.75,0,0,0,1.22,0
108-118,0,0,1.06,0,1.96,0.5,0,0.47,0.61,0,0,3.28,2.76,3.53,0,0,0,0,0,0,0,0
120,2.37,0,0,0,3.35,0,0,18.62,0,0,0,0,1.32,3.54,0,0,0,0,0,0,0,0
