stage,epidermis,eye,muscle,neural
  7-9,0,17.33,0,6.68
 10-12,0,16.42,0,13.08
 60-70,1.5,0,0,0
 72-82,0,0,0.68,0
 84-94,0,5.72,0,0
 96-106,0,0.69,0,0
