stage,axial,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  7-9,3.32,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.15,0,0,0,0,0,0,0,0,0,11.97,0,0,0,1.31,1.33,3.33,0
 24-34,0,0,0,0,0,0,0,0,0,7.15,1.2,10.54,1.92,0,2.45,0,0,4.16,1.08
 36-46,0,0.76,0,2.37,0,2.63,0,0,0,3.93,0,47.86,0,1.4,0,0,0,7.66,0
 48-58,0,0,0,2.3,0,3.34,0,0.45,0,2.58,0,5.17,0,0,1.1,0,0,0,7.77
 60-70,0,0,0,11.36,0,0.75,0,0,0,2.99,0.77,10.49,0,0,0,0,0,2.43,0
 72-82,0,0,0.56,5.72,0.69,0,0.55,0,0,0,0,16.47,0,0.79,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,1.07,0.68,9.22,0,0,0,0,0,0,0.85
 96-106,0,0,0,1.46,0,0,0,0,0,0,0.93,7.14,0,0,0,0,0,0,0
108-118,0,0,0,1.88,0,0,0,0,0.71,0,0,11.55,0,0,0,0,0,0,0
120,0,0,0,3.12,0,0,0,0,0,0,0,14.08,3.36,0,0,0,0,0,0
