stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.44,1460.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.03,0,0,0,0,0,0,0,0,0,0
  5-6,14.72,442.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,8.08,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.88,0,0,0,13.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.7,0,0,0,0,19.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.75,0,0,0,11.97,0,5.41,26.74,7.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,13.8,4.84,0,22.62,0,0,0,0.9,1,0,0,0,1.8,0,0,0,0,4.06,0,0,3.29,54.38,0,0,0,0,0,4.84,1.23,0,0,5.37,8.79,0,0,0,0,0
 24-34,0,0,0,2.97,0.69,0,23.24,0,0.91,0.76,1.18,0,0,0,0.64,0.72,0,0.63,0,0,3.74,0.93,0,2.24,82.52,0.6,5.31,0,0,0,13.99,0,1.72,0,2.34,15.49,0,0,0.68,0,2.56
 36-46,0,0,0,7.11,0,0,8.78,0,0,0,2.88,0.61,0,0,0,1.21,0,0,0.83,0,1.44,0.59,0,6.69,49.33,0,0.75,0.8,0,0,12.43,0,15.74,0.67,0,4.12,0,0,0.73,0,0
 48-58,0,0,0,2.57,0,0,22.25,0.86,7.47,0.6,6.17,0,1.19,0,1.25,0.52,0,0,0.39,0,4.64,0,0.39,6.88,59.82,0,0.39,0.44,0,0,8.33,0,0,0.97,0,8.87,0,0,2.97,0,2.08
 60-70,0,0,0,5.67,0,0,48.15,0,2.24,4.25,2.25,3.39,0,0,1.84,0,0,1.37,6.54,0,14.65,3.54,5.32,3.93,53.69,0,1.73,0,0,0,21.83,0,0,0,0,4.02,0,0,0,0,0
 72-82,0,0,0.54,5.07,0,0,44.65,0,0,0,8.04,1.17,0.52,0,2.42,0.7,0,0.64,2.43,0.49,15.37,3.49,0,3.87,84.56,0.52,0,0,0,0,14.44,1.65,2.99,0,0,1.91,0,2.11,0.51,1.31,0
 84-94,0,0,0,3.91,1.89,0,26.7,0,0,3.27,7.1,5.18,0,0,1.55,3.11,2.32,3.06,4.07,0,11.4,2.65,0,5.76,67.83,0.93,0,2.23,0,0,36.78,0,1.33,0,0,5.91,0,0,3.03,0,0
 96-106,0,0,1.06,4.57,1.53,0,22.98,0.67,3.32,3.69,17.33,5.24,0,1.93,6.81,1.25,0,3.15,5.3,0.67,15.57,1.66,0,2.85,53.63,0,4.07,5.17,0,8.13,45.71,0,0.7,0.58,0,0.9,1.31,0.72,10.07,0,0
108-118,0,0,0,11.11,1.46,1.99,32.96,0,3.02,3.89,27.4,1.61,0,0,1.22,7.34,0,0,10.69,5.33,38.51,7.85,3.86,4.35,72.55,0,0,6.77,0,0,47.46,0.48,0.48,0.98,0,6.91,1,0,1.26,0,3.96
120,0,0,0,26.93,3.6,0,10.71,0,3.99,0,16.83,3.28,0,0,0,2.51,0,0,3.94,9.24,12.45,0,0,2.17,130.48,0,0,1.76,0,0,23.74,0,0,0,0,16.26,0,1.46,0,0,0
