stage,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,neural,paraxial_mesoderm,periderm,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0
 24-34,0,0,0.71,0,0,0,0,0,0,0,15.7,0,0,0,4.6,0,0,0,0
 36-46,0,0,0,0.86,0,0,0,0,5.04,0,0,0,0,0,2.83,0,1.05,0,0
 48-58,0,0,0,0.39,0,0,0,0,0,0,18.5,6.87,0,0.39,13.12,0,0,0,0
 60-70,0,0,2.14,10.74,1.84,2.08,0,0,0,0,20.49,0,1.51,0,3.22,0,0,0,0
 72-82,0.83,0,0,5.87,0,1.04,0,0,0.66,0,15.27,0,3.51,0,0.89,0,2.23,0,0
 84-94,0,0,0,5.77,0,0,0,0,0,0,6.58,3.29,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.66,0.75,0.57,66.32,0,20.87,0,35.76,0,0,0,0.6
108-118,0,0.74,0,0,0,0.96,0.79,0,3.07,0,25.94,0,0.56,0,14.63,0,0,1.3,0
120,0,0,5.79,0,0,0,0,0,3.12,0,1.79,0,1.15,0,9.82,0,1.63,0,0
