stage,blastomeres,epidermis,eye,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites
  3-4,94.46,0,0,0,0,0,0,0,0,0,0
  5-6,14.73,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.13,0,0,56.95,0,12.48,0,0,0
 10-12,0,0,0,0,0,52.72,9.13,28.08,0,0,0
 14-21,0,2.17,0.87,0.84,0,7.11,0,0,1,3.07,0.8
 24-34,0,2.35,0,0,0,0.68,0,0,0,0,0
 36-46,0,0,0,0,0,1.05,0,0,0,0,0
 48-58,0,0,0,0.57,0,1.84,0,0,0,0,0
 60-70,0,0,0,0.69,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.79,1.93,0,0,0,0,0
 84-94,0,0,0,3.61,0,0,0,0,0,0,0
