stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.89,0,97.34,595.17,70.64,0,139.83,0,0.82,0,237.14,25.75,0,38.21,0,0.91,0,0,4.78,0,1391.6,0,0,1306.67,14931.57,18.4,0,1.82,8.16,0,6.58,117.38,6.81,212.79,499.81,4268.39,0,0,9.92,0,0
 24-34,0.88,0,11.4,132.91,14.3,0,97.28,0.68,0,0.63,177.65,2.19,5.16,1.22,6.57,3.75,1.65,3.39,0,0,902.89,1.56,3.97,802.9,19321.83,1.86,21.6,8.86,0,3.21,31.57,24.5,1.59,96.64,17.46,3703.06,0,0,69.91,0,6.48
 36-46,0,0,0,48.88,0.71,0,984.6,11.23,0,2,102.19,1.81,0.76,8.94,6.49,2.41,7.74,1.62,5.87,11.19,1145.37,0,17.83,296.66,39570.92,1.25,9.02,30.38,5.14,4.61,14.88,13.44,10.71,15.45,0,4455.73,0,2.08,49.95,1.55,16.4
 48-58,0,0.54,0,91.82,0.69,0,5266.54,2.38,38.6,19.19,331.05,12.23,2.08,13.03,6.7,0.37,22.67,3.99,11.89,13.79,1654.59,1.17,39.97,262.31,45319.71,12.55,9.4,2.8,0,2.43,50.35,0,6.24,32.14,0,4976.33,0,2.26,22.42,0,96.33
 60-70,0,0.65,0,66.71,5.37,0,6977.92,2.07,13.24,30.71,187.88,0.71,5.9,3.89,9.1,0,6.06,0,9.5,0,1631.75,6.85,38.94,228.56,29961.26,8.07,5.2,0,0,5.65,38.47,0,11.13,9.6,0,3213.29,0,36.2,45.14,0,75.97
 72-82,0,0.64,0,92.79,26.87,0,6162.98,5.37,1.04,29.28,255.62,5.19,0,7.97,11.26,1.13,14.24,1.74,15.82,4.88,2739.33,5,87.82,216.17,18311.99,3.31,9.81,7.9,1.13,7.18,32.68,0,0.73,4.95,0,2306.78,0,61.79,20.26,24,124.17
 84-94,0,4.58,0,182.8,22,0,4291.85,6.1,6.18,13.51,232.13,0.85,0,17.28,22.59,11.43,23.46,0,0,2.59,1817.9,8.77,91.36,158.07,11200.44,0,12.91,7.42,0,5.89,34.82,0,3.47,4.71,0,1255.7,0,58.1,34.44,37.21,40.17
 96-106,0,0.81,0.77,112.36,79.14,2.47,3180.83,2.43,7.66,26.42,282.3,4.9,0,18.31,4.52,1.81,1.25,14.07,62.51,7.05,2115.57,1.22,91.38,168.82,7540.9,1.29,4.12,4.6,0,21.36,54.66,0,0.69,4.82,0,540.35,7.47,55,11.64,21.92,33.83
108-118,0,0,0,125.17,12.14,0,3475.4,0.49,9.45,5.33,195.68,2.44,0,7.64,1.91,4.16,1.26,0,5.81,2.59,2429.64,1.09,52.4,139.93,10350.69,0.47,11.4,0,0,11.03,14.41,0,5.18,10.86,0,533.13,1.73,32.67,5.41,40.51,3.44
120,0,0,0,18.58,14.31,0,2860.02,1.01,2.63,14.52,250.21,18.78,0,4.54,11.2,0,0,0,0,0,2109.85,5.27,131.08,102.83,8528.55,1.42,0,9.08,0,24.73,11.95,0,3.15,1.21,0,261.62,0,35.61,8.69,26.19,6.16
