stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0.88,0,0,0,0
 24-34,0,0.7,1.14,0,0,1.65,0,1.63,0,0,0,0,0,0,28.39,0.89,0,0,9.35,0,0,0,0,1.23,0,0,0
 36-46,0,0,7.03,0,0,0,0,1.78,0,0.79,1.33,0,0,0,14.93,0,0,0.98,36.42,0,0.81,4.66,0,4.06,0,3.88,0
 48-58,0.46,0,3.05,0,0,4.91,0,0,0,1.39,1.29,0,0,0,33.13,0,2.38,1.72,14.94,2.5,2.77,0,0,1.43,0,0,0
 60-70,0,0,0,0,0,10.21,0,0,0,6.63,6.12,0,9.17,0,66.59,0,0,0,19.89,0,0,0.56,0,2.26,0.61,0,0
 72-82,0,0,4.12,0,0,13.57,0,0,0,2.76,2.24,0,0,0.97,144.98,4.23,0,0,53.78,0,0.49,2.73,0,3.32,0,0.62,0
 84-94,0,1.04,0,0,0,6.39,0,0,0,0.58,2.14,1.56,0.64,0,548.39,0,0,0,46.78,0,0,9.07,0,2.26,0,0,0
 96-106,0,0,2.13,6.6,1.67,38.63,0,0,1.02,3.38,3.34,1.08,0.56,0.65,736.54,0,1.96,0,116.93,0,0,7.66,0.66,6.42,0,0,0
108-118,0,0,2.12,3.51,1.86,25.48,6.53,0,0,4.87,0.52,0,1.91,0,1294.36,15.26,0,3.54,79.1,0,0,1.9,1.77,1.62,0,0.43,1.41
120,0,0,3.42,2.01,0,8.81,0,0,1.44,9.8,1.24,0,0,0,562.39,3.61,0,0,62.12,0,0,2.96,1.83,0,0,8.64,0
