stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,35.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.03,0,0,0,0,5.28,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.45,0,0,7.88,0,0,0,8.59,0,0,0,0
 14-21,0,0,0.9,0,0.82,0,0,0,0,1.28,0,0,0,0,1.86,0,0.93,18.88,0,0,0,0,0,1.11,0,2.19,0,0,0
 24-34,0,0.6,0,0,1.94,0,0,0,0,0,0.82,0,0,0,3.1,0.81,0,87.05,1.53,0,0,0,0,0,0,8.43,0,0,0
 36-46,0,0,0,0,2.82,0,0,1,1.3,0,0,0,0,0,8.01,0,2.53,150.36,0,0,0,2.25,0,0,0,27.22,0,0,0
 48-58,0,0.46,0,0,26.07,0,0,0,10.89,0,0,0,0,0,3.33,0,1.06,265.6,0,0,0,0,0,0,0,29.74,0.44,0,0.66
 60-70,0,0,1.32,0,77.4,0.58,0,0,2.96,0,0,1.06,0,1.13,13.8,0,1.82,531.57,0,0,0,0,0,0,0,43.37,0,0,0
 72-82,0,0,4.95,0.57,125.56,0,0,0.93,10.93,0,0,0,0.64,0,13.39,0,0.5,470.55,0.54,0,0,0,0,0,0,21.45,0.9,0,0
 84-94,0,0,1.32,0,52.34,0,0,1.12,4.32,0,0,1.59,0.97,0,10.04,0,0,310.71,0,0,0,0,0,0,0,36.25,0,0,0
 96-106,0,0,0.88,0,69.89,0,0,0,8.24,1.54,0,2.56,1.03,0,21.57,0,1.48,259.36,0,2.76,0,0,0,0,0,20.44,0,2.27,0
108-118,0,0,4.6,0,80.69,0,0,0,3.52,1.11,0,1.09,4.85,0,7.88,0,0,297.06,0.57,0,0,0,0,0,0,21.98,0,0,0
120,0,0,3.24,0,98.22,0,1.16,0,38.04,3.22,0,0,1.58,0,6.88,0,0,677.11,0,0,0,0,0,0,0,2.02,4.55,0,0
