stage,blastomeres,eye,glial,melanocytes,neural,olfactory,paraxial_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle
  5-6,16.03,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.75,0,0,0,0,0
 10-12,5.74,0,0,0,0,0,16.36,0,0,0
 14-21,0,0,7.83,0,3.33,1.37,0,12.1,24.78,0
 24-34,0,0,1.52,1.23,8.09,1.27,0,0,8.7,0
 36-46,0,0,2.42,0,3.76,4.07,0,0.63,5,0
 48-58,0,0,1.55,0,4.23,3.43,0,0,4.43,0
 60-70,0,0,1.76,0,0,5.7,0,0,0,0
 72-82,0,1.27,0.89,0,0,0.49,0,0,0,0.86
 84-94,0,0.55,0,0,0,1.32,0,0,0,0
 96-106,0,0,0,0,0,1.47,0,0,0,0
108-118,0,0,0,0,0,2.1,0,0,0,0
120,0,0,0,0,18.35,0,0,0,0,0
