stage,blastomeres,epidermis,eye,fin_epithelia,glial,mesenchyme,mural_cell,muscle,neural,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,4.05,0,0,0.97,0.96,0,0,0
 24-34,0,0,0,0,0,0,0,0,5.49,1.16,8.8,0,0.76,0,0,0
 36-46,0,0,0,0,0,0,0,0,10.97,0,1.56,0,1.84,0,0,0
 48-58,0,0,3.27,0,1.8,1.62,0,0.58,30.81,0,0,0,3.85,0,0,0
 60-70,0,0,0,0,2.08,0.9,0,0,53.79,0,1,0,2.28,0,0,0
 72-82,0,0.9,3.96,0,1.61,1.11,0,0,64.18,0.7,0,0,1.69,0,0,0.55
 84-94,0,0,1.28,0,0.98,0,1.14,0,49.96,0,0.76,0,0,0,0,0
 96-106,0,1.25,3.48,0,0,0,0,0,27.48,0,0.7,0,0,0,0,0
108-118,0,0,7.51,2.57,6.35,0.42,0,0,32.55,0,0,0,0,0,2.47,1.85
120,0,3.62,7.23,1.12,8.12,9.34,0,0,87.83,1.29,5.21,0,0,1.44,0,2.78
