stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,56.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,68.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0
  7-9,8.78,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.53,22.24,0,0,9.45,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.99,10.18,0,0,20.61,0,0,14.14,0,9.05,0,0,0,0,0,0
 14-21,0,0,0,2.14,1.21,0,0,0,0,3.52,1.11,3.65,2.05,0,0,0,2.42,0,3.07,0,0,3.3,141.98,2.01,4.11,0,0,0,0,0,4.59,0,2.95,59.96,0,15.87,0,0
 24-34,0,0.8,0.62,0,0,0,5.17,0.83,0,2.21,0,2.2,3.27,3.13,0.72,0,7.2,0,4.41,0,0,4.48,682.54,0,5.72,3.76,0,0,1.49,0,0,0,0,142.66,0,46.36,0,0
 36-46,0,0,0,3.45,0,0,53.31,0,0.57,7.55,0,0,0,0,0,0,0.83,0,4.96,0,0,0,1663.73,0,3.07,2.13,0,0,20.89,0,0,0.7,0,244.83,0,18.69,0,4.09
 48-58,0,0.4,0,18.64,0,0,267.44,5.19,0.81,26.18,0,0.5,7.68,0,0,0,0,2.96,14.42,0,1.75,6.51,1819.16,0,4.55,1.49,0,0.56,12.03,0,0,0,0,302.8,0,20.51,0,3.78
 60-70,0,0.82,0,22.51,3.33,0,966.7,0,0.73,12.16,0,0,0.88,0,0,1.13,0,0,23.32,0,1.09,0.69,2134.54,0,3.41,3.17,0,0,8.91,0,0,0,0,248.16,0.84,1.27,0,0
 72-82,0,0,0,16.3,0.49,0,703.59,0,0.75,26.07,0,0,0,0,0,0,0,0,19.81,0.92,0,2.78,1243.05,0,4.32,5.54,0,0,4.79,0,0,0,0,126.1,0,7.08,0,10.89
 84-94,0,0,0,16.51,1.63,0,407.24,0,0,20.75,0.87,0.86,1.31,0,0,0.71,0,0,9.35,0,0,0,887.31,0,0.93,14.96,0,0,11.78,0,0,0,0,82.88,0,4.86,1.59,0
 96-106,0,2.48,0,19.81,5.59,2.1,406.27,0,2.54,25.23,0,0,1.6,0,0.81,1.35,0,0,13.51,3.21,0,0.62,656.39,0,7.76,8.6,0,0,20.36,0,0,0.67,0,39.19,0,3.02,2.25,3.48
108-118,0,0,0,17.46,1.47,22.59,289,1.34,0,23.82,1.29,0,2.95,0.5,0.49,0.45,3.76,0,27.58,0.59,0,2.01,801.08,0,4.35,8.09,0,0,8.96,0,0,0,0,27.61,0,8.07,0,7.93
120,0,0,0,19.78,11.09,8.12,280.05,0,0,17.11,1.14,0,0,1.78,6.31,0,0,0,27.56,0,0,1.82,1067.98,0,1.29,0,0,0,1.32,0,0,0,0,22.6,0,9.86,0,7.88
