stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,255.8,5246.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.57,0,0,0,0,0,0,0,0,0,0
  5-6,261.54,3911.8,0,0,0,0,0,0,0,0,0,0,0,25.82,0,0,0,0,0,0,0,0,0,0,0,135.82,0,0,0,8.83,0,41.98,0,0,0,0,0,0,0,0,0,0
  7-9,127.78,108.63,0,118.81,0,0,0,273.49,0,0,0,0,0,125.15,0,0,0,0,0,0,0,0,0,0,0,2331.69,131.17,0,0,858.42,0,4.34,14.31,0,0,0,0,0,0,0,0,0
 10-12,0,121.85,0,107.19,0,27.03,0,194.58,0,0,0,0,0,54.67,0,0,0,0,0,0,0,0,0,0,3.87,1850.5,133.78,0,0,793.3,0,5.41,5.85,0,60.61,0,5.41,0,0,0,0,0
 14-21,0,0,0,3.12,66.84,12.47,0,22.75,0,1.74,0,8.81,2.91,5.05,0,0,0.96,0,0,5.66,0,38.46,0,0,25.05,265.45,23.27,0.89,0.96,11.68,0,0,0,35.84,0.86,0,53.47,118.64,0,7.17,0,3.62
 24-34,4.02,0,0,0.65,29.86,0,0,67.19,0,5.04,1.84,12.85,0.67,0,1.85,0.6,5.65,0,0,0,6.49,69.35,0.7,2.43,61.79,507.32,11.76,1.79,4.66,0,2.91,1.5,0,0,2.54,1.03,22.29,120.79,0,11.2,0,0.95
 36-46,0,0,0,0,4.2,1.29,0,136.11,0,0.58,7.06,18.48,1.33,0,1.87,1.76,1.22,0,0,0,3.04,110.96,0,2.41,32.93,437.41,13.52,0.6,3.04,0,0,0.84,0,0,16.16,0,0,98.84,0,17.94,0,5.24
 48-58,0,0,0.92,0.5,10.62,0,0,231.39,0,2.51,12.06,58.91,2.19,0,1.35,3.44,0.38,0,0.37,0,1.2,155.13,2.7,0.5,23.14,382.76,4.7,1.19,1.6,0,0.53,2.1,0,0,0.62,0.95,2.82,79.14,0.44,13.13,0,0.51
 60-70,0,0,0,0,7.49,1.38,0,230.38,0.65,4.43,3.96,35.77,0,0,5.76,0,0,5.95,0,0,0.88,205.63,3.03,10.97,7.8,251,3.74,2.55,11.37,0,0,6.67,0,0,5.17,0,0,54.64,0.82,6.83,0,14.19
 72-82,0,0,0,0,7.68,0.86,2.97,211.45,0,7.18,6.99,56.53,4.73,0,2.14,0.68,1.02,6.48,3.59,4.6,7.21,372.16,1.17,3.98,15.07,185.18,1.15,2.23,6.1,0,2.23,1.57,0,0,0.55,0,0,34.75,0.52,18.63,0,1.1
 84-94,0,0,2.82,0,3.62,8.29,0,154.15,7.04,0,4.69,39.16,4.21,0,1.82,5.58,0,2.74,4.61,3.9,6.4,247.28,2.64,13.13,10.28,164.6,1.6,0,4.05,0,0,5.65,0,0,6.87,0,0,23.28,4.53,4.67,3.79,0
 96-106,0,0,0,0,10.78,1.13,1.88,97.04,0,3.06,7.32,52.55,13.69,0,5.22,2.97,0,8.56,9.87,13.62,0,155.16,2.77,0.75,7.82,124.23,1.58,9.21,2.58,0,1.17,1.99,0,0,0.57,0,0,5.12,0.88,17.19,1.36,0.69
108-118,0,0,1.62,0.44,5.89,1.1,5.21,134.83,0,1.87,2.23,37.72,4,0,0.51,6.3,2.87,2.3,0.45,1.07,2.82,114.75,1.3,0.49,11.74,188.69,2.39,0.6,4.23,0,2.6,3.45,0,0,0,0.48,0,4.62,8.02,13.92,4.17,4.12
120,0,0,0,0,5.73,0,1.07,76.25,0,0,0,67.64,12.44,0,0,7.68,1.45,1.58,0,0,0,120.24,0,13.04,3.38,171.4,4.62,0,2.78,0,0,0,0,0,0,0,0,0,0,6.54,0,0
