stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.5,965.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.42,0,0,0,0,0,0,0,0
  5-6,0,299.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,8.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.24,0,0,3.94,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,25.3,9.18,0,0,0,0,0,5.95,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,22.43,0,0,0,0,0,0,0.9,1.42,24.84,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0.73,0,0,0,0,5.91,0,0,1.35,273.25,0,0.76,0.61,0,0,0,0.86,0.61,69.98,0,0,0,0,0.77
 36-46,0,0,0.85,0,0.73,0,10.9,0,0,4.36,0,0,0.99,0,0,0,0,1.42,3.39,0,0,0,863.41,1,3.46,1.46,0,0,0.79,0,0.7,136.04,0,0,0,0,0
 48-58,0,0,0,0,1.84,0,121.16,5.07,0.75,24.52,0,0,0.69,0,2.34,0,0,0.88,7.05,0,0,1.36,1357.05,0,2.24,0,0,0,0,0.65,0,189.31,0,0,0,0,1.13
 60-70,0,0,0.91,0,2.83,0,454.05,3.17,0,48.71,0.83,0,0,0.6,0.82,0,0,7.2,14.07,0,0,0,2177.72,0,5.22,0.81,0,0.63,0,0,0,291.84,0,0,0,0,18.15
 72-82,0,0,0,0,1.65,0.67,512.58,0,0,43.83,0.71,0,0,0,0,0,0,0,11.05,0,0,0.8,1725.38,0,3.62,3.62,0,0,0.66,0,0,144.6,0,3.15,4.13,0.79,16.43
 84-94,0,0,0.56,0,0.76,0,360.69,0,0,80.89,0.89,0,0,0,0,2.35,17.36,0,18.36,0,0.83,2.31,1329.02,0,2.67,0.59,0,0,2.84,0,0,131.85,0.78,1.96,2.81,0,9.57
 96-106,0,0,0,0,3.99,9.48,401.26,0,0,82.69,0,0,0.73,0.83,2.95,6.08,0,0,20.13,1.66,1.16,2.69,897.9,0,4.32,2.67,0,0,0.59,0,0,26.08,1.23,0,0,0.59,23.12
108-118,0,0,0.52,0,3.58,1.17,338.88,0.54,0,52.68,0,0,0,4.33,2.9,3.28,0.95,2.79,25.36,5.36,1.97,3.6,1277.02,0,3.39,3.4,0,0,0,0,0.87,36.57,0,0,0,0.9,6.26
120,0,0,0,0,18.88,0,217.99,0,0,66.6,0,0,0,13.59,3.12,3.67,0,0,72.93,0,4.66,1.93,1282.24,0,0,0,0,0,0,0,1.22,24.29,0,0,0,6.61,0
