stage,blastomeres,endoderm,epidermis,eye,glial,heart,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,13.29,0,6.08,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,29.21,0,11.64,0,0,0,0,0
 14-21,0,0.81,0,0,0,0,0.84,4.94,0,0,0,0.87,2.2,0,0
 24-34,0,0,0,1.49,0,0,8.15,19.51,0,0,0,0,0,0,0
 36-46,0,0,0,0.59,0,0.95,0,3.18,1.41,0,0,0,0.62,0,0
 48-58,0,0,0,1.99,0,0,5.39,8.73,0,0,0.38,0,0.53,0,0
 60-70,0,0,0,1.86,1.07,0,4.94,0.64,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.32,1.21,0,0,1.51,0,0,0,0
 84-94,0,0,0,0,1.51,0,0,0.7,0,0,0,0,0,0,2.4
 96-106,0,0,0,1.92,0,0,2.6,2.39,0,0,0,0,0,0,0
108-118,0,0,1.17,0,0,0,0,3.28,0,0,0,0,0,0.94,0
120,0,0,0,0,0,0,0,6.46,0,0,1.15,0,0,0,0
