stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,15.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.26,0,0,0,4.32,0,0,0,0,0
 10-12,0,0,5.43,0,0,0,13.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.92,3.95,0,0,4.17,5.16,4.98,0,0,0
 14-21,0,1.23,0,42.26,0,0,1.02,0,0,0,0,0,0,0,0.87,0,0,2.98,0,0,2.67,7.13,0,0,0,0,59.49,3.14,0,0,0
 24-34,0,0,0.7,40.24,0,0,2.4,0,0,1.28,0,0,0.69,0,2.2,0,0,8.29,0,0,5.85,18,0,0.98,0,0,47.79,20.14,8.17,0,3.26
 36-46,0,0,0,20.43,0,0,0,0,0,2.07,0,0,0,0,0,0,0,6.33,0.6,0,4.33,20.52,0,0,0,0,24.61,2.73,5.86,0,0
 48-58,0,0,0,4.98,0,0,2.99,0,0.71,2.28,0.39,0.75,0,0,0,0,0,3.8,0.56,0,0.5,21.54,0,0,0,0,17.8,7.96,5.88,0,0.54
 60-70,0,0,0,6.19,0,0,12.82,0,0,2.61,0,0,0.69,0,0,1.06,0,1.96,0,0,0,10.64,0,0,0,0,0.66,7.62,3.41,0,0
 72-82,0,0,0,3.49,0,0,3.32,0.55,0,0,3.53,0,0,0,0,2.34,0,7.08,0,0,0,17.41,0,0,3.1,0,2.15,2.37,1.12,0,1.64
 84-94,0,0,0,2.39,0.84,0,0.69,0,0,0.57,0.75,0,0,1.73,0,0,0,4.58,0,1.98,0.88,8.01,0,0,0,0,0.82,4.76,1.84,0,0
 96-106,0,0,0,1.9,0,0,5.05,0,0,2.51,19.75,0,0,1.37,0,20.85,0.75,1.55,0,0,2.97,2.05,0,0,0,0,24.03,2.83,0,0.88,0
108-118,0,0,0,4.32,0,8.88,10.11,5.21,0,1.59,33.55,0,0,1.91,0.52,32.82,0,12.58,0,6.87,0.66,8.78,0,0,0,0,4.74,2.98,0,0,7.16
120,0,0,0,10.27,0,1.26,0,0,0,0,33.63,0,0,0,0,20.2,0,0,0,0,0,37.15,0,0,0,0,1.1,7.55,0,0,0
