stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,xanthophores
  7-9,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,10.64,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,84.71,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0.8,0,0
 48-58,0,0,0,0,0,0,0,0.48,0.66,3.29,0,174.93,0,0,0,0,0,0
 60-70,0,0,2.36,0,0,0,0,1.34,0.87,3.26,0,216.51,0,0,0,0,0,0
 72-82,0,0,4.58,0,0,0,0,1.2,0.66,1.83,0,243.49,0,0,0,0,0,0
 84-94,0,0,0.55,0,0,0,0,20.76,0,7.39,0,223.8,0,0,0,0,0,0
 96-106,0,1.45,3.01,0.58,1.41,1.66,0.83,122.72,8.74,26.18,0,39.11,0,5.37,0,0,0.65,1.41
108-118,0,5.98,6.75,0.52,4.02,0,0.63,243.62,6.31,14.52,0.44,146.28,0,0.67,0.45,0,0,7.71
120,0,0,11.31,0,0,0,0,120.53,9.56,2.96,0,0,2.3,2.41,0,0,0,0
