stage,epidermis,eye,glial,mesenchyme,neural,xanthophores
 24-34,0,0,1.04,0,0,0
 36-46,0,0,0,1.01,0.65,0
 48-58,0,1.17,0,0,0,0
 60-70,0,0,0,0,3.07,2.08
 72-82,0,0,0,0.58,4.51,0
108-118,0.51,0,0,0,0,0
