stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.74,117.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
  5-6,0,98.79,0,0,0,0,0,0,0,0,21.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0
  7-9,0,8.24,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,62.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.89,12.21,0,0,5.92,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.47,1.07,0,0,0,0.91,0,0,0,0,0.89,0,0,0,1.94,0,0,2.79,15.91,3.65,0,0,0,0,3.61,1.87,7.52,0,1.24,0,0
 24-34,0,0,0.67,1.92,0,3.27,3.01,0,3.19,0,0,0,0,0,0,0.74,0,3.67,0,0,0.81,64.62,0.68,0,1.44,0,0,2.33,0.61,6.86,0,0,0,0
 36-46,0,0,0,0.69,0,8.57,0,0,4.71,0,0,0,0,0,0,0,0,2.31,0,0,0,21.21,0,0,0,0,8.46,0,0,2.87,0,1.55,0,0
 48-58,0,0,0,4.34,0,9.7,0,0.9,4.21,0,0,0,0,0,0,0,0,10.71,0,0.42,0.67,31.55,0,0.93,0.44,0,0,0,0,13.88,0,5.31,0,1.96
 60-70,0,0,0,0,0,21.06,0,0,8.03,0,0,0,0,0,1.28,0,0,13.94,0,0,0,25,0,0,0,0,0,0,0,10.49,0,1.82,0,0
 72-82,0,0,0,0,0,9.06,0,0,3.43,2.58,0,0.53,0,0,0,0,0,8.72,0.58,0.55,0,15.69,0,0.53,0,0,0,0,0,0.63,2.22,0,0,0
 84-94,0,0,0,0,0,6.46,0,0,1.56,1.01,0,0,0,0,0,0,0,6.26,0,0,0.96,6.69,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,21.05,0,0,2.82,0.9,0,0,1.64,0,0,0,3.66,7.23,0,0,0,12.68,0,0,0.62,0,1.17,0,0,0,0,0,0,0
108-118,0,0,0,0.42,3.65,4.17,0,0,0,0,0,0,0.44,0,0,0,0,1.07,0,0,0,11.35,0,0,0,0,0,0,0,0,0,0,0.42,0
120,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
