stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,43.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.67,112.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,18.24,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.3,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.94,0,0,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.73,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.65,0,0,0,20.4,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10.89,6.28,0,5.09,0,0,5.29,1.4,3.67,0,0.82,0,0,0,0,19.24,0,0,2.32,136.14,0,7.14,1.09,6.77,0,1.64,16.84,0.86,0,10.17,43.92,0,0,1.9,0,0
 24-34,0,0,1.05,0,1.81,0,0,13.38,0,1.44,0.61,0.71,2.16,0,0,1.57,0,0,0,10.88,0,0,2.36,117.05,0,17.08,0.89,0,0,7.62,0,1.53,0,0.69,20.25,0,0,6.87,0,0.93
 36-46,0,0,0,0,4.51,0,0,33.71,0,6.14,1.56,0.72,0,0,0.98,0,0,0,0,5.18,0,0,0.95,85.3,0,7.73,0,0,0,3.35,0,1.53,0,0,14.56,0,0,2.41,0,0
 48-58,0,0,0,0,0.38,0,0,39.51,0.41,9.81,8.88,0,0,0,0,2.33,0,2.86,0,13.05,0,0,3.3,99.97,0.44,1.04,3.51,0,0,6.8,0,1.52,0.68,0,23.27,0,0,2.73,0,0.54
 60-70,0,0,0,0,0,0,0,85.16,2.42,0,8.55,0,0,4.48,0,3.43,0,0,0,32.66,0,5.12,1.44,90.31,1,3.2,0,0,1.9,20.57,0,4.67,0,0,15.06,0,0,12.76,0,9.89
 72-82,0,0,0,0,0,0,0,63.86,1.74,1.36,12.78,0,0,0,0,0,0,4.21,0,44.24,0,0.63,4.51,108.62,1.03,4.31,8.11,0,0,0.74,0,0,0,0,14.75,0,1.53,2.04,2.52,5.65
 84-94,0,0,0,0,8.5,0.77,0,21.7,4.48,2.52,4.31,0,0,1.04,1.52,0,0.81,0.57,0,28.58,0,1.99,1.79,54.47,2.77,0,1.68,0,0,2.5,0,0,0,0,3.7,0,2.79,5.78,0,0
 96-106,0,0,0,0,4.89,0,0,20.39,0,0,6.61,0,0,0,0,0,1.01,10.33,0,28.44,4.78,2.39,2.25,76.19,0.57,5.04,1.2,0,1.51,26.98,0,0,0,0,1.7,0,4.43,1.34,1.58,0
108-118,0,0,0,0.74,8.56,0,0.81,37.5,1.78,0,16.52,0.67,3.24,1.24,0,0,0,0,1.75,49.14,0.87,1.66,6.5,84.22,6.57,2.13,3.13,0,0,13.65,0,1.39,0,0,7.64,2.29,1.53,2.09,1.09,0
120,0,0,0,0,3.92,0,0,39.03,1.28,0,12.41,0,0,5.54,0,0,0,0,0,33.45,0,4.59,3.83,71.26,5.46,1.54,2.34,0,0,18.51,0,0,0,0,14.36,0,0,6.74,0,0
