stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,xanthophores
  5-6,29.85,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.91,3.28,0,0
 14-21,0,0.81,0,0,0,0,0,0,0,0,0,0.84
 36-46,0,0,0.56,0,0,0.83,0,1.63,0,0,0,2.21
 48-58,0,0.53,0,0,3.21,0,0.63,0,0,0,0,0
 60-70,0,0,0,0,1.48,0,1.03,0,0,0,0,0
 72-82,0,0,0,0,15.67,0,0,0,0,0,0,0
 84-94,0,0,0,0,7.34,0,0,9.72,0,0,0,0
 96-106,0,0.58,0,0.87,9.41,0,0.72,9.93,0,0,0.6,0
108-118,0,0,5.36,0,8.46,0,1.17,9.96,0,0,0,0
120,0,0,0,0,1.05,0,0,3.98,0,0,0,0
