stage,endocrine_pancreas,epidermis,eye,glial,mesenchyme,mural_cell,muscle,neural,notochord,otic,slow_muscle,somites,spinal_cord,vasculature
 14-21,0,0,0,0,1.13,0,1.16,8.32,0,0,0,1.54,4.95,1.23
 24-34,0,0,1.04,0.63,1.33,0,1.03,28.72,0,0,0.67,0,2.03,0.88
 36-46,0,0,3.43,0,1.6,0,0,69.15,0,0,0,0,9.72,0.91
 48-58,0,6.78,6.07,0,0,0,0,72.52,0,0,0,0,7.79,0
 60-70,0,0,35.9,1.68,1.07,0,0,96.58,0,0,0,0,6.59,0
 72-82,0.5,0,12.17,3.88,8.02,1.76,0,61.05,0,0,0,0,11.33,0
 84-94,0,0,6.84,0,0.97,0,0,38.02,0,0,0,0,7.75,4.96
 96-106,0,2.25,12.18,0.92,0.95,0,0,17.9,0,0,0,0,0,2.76
108-118,0,0,7.59,0,0,0,0,40.12,0,0,0,0,0,0
120,0,0,3.29,2.09,0,0,0,12.89,1.42,3.63,0,0,0,0
