stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.52,2175.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.35,0,0,0,0,0,0,0,0,0,0
  5-6,67.57,1279.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.18,0,0,0,14.54,0,16.69,0,0,0,0,0,0,0,0,0,0
  7-9,37.7,23.04,10.58,0,0,0,36.34,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,420.04,8.62,0,0,150.58,0,0,25.2,0,0,0,0,0,0,0,0,0
 10-12,0,21.39,288.77,0,16.31,0,11.44,0,0,0,0,14.44,0,0,0,0,0,0,0,0,0,0,0,753.98,8.79,0,0,72.05,0,0,0,0,49.56,0,0,0,0,0,0,0
 14-21,0,0,5.06,268.89,28.08,0,1.96,1.44,0,0,19.83,0.93,8.07,0,4.72,0,0,0,0,228.3,1.28,0,71.36,91.9,0,0,1.92,1.09,0,13.81,0,9.84,3.13,4.51,1.9,0,0,0,0,0
 24-34,0,0,2.23,63.18,0.67,0,2.95,2.3,0,0.62,11.9,0,1.23,0,0.61,0,0,1.14,0.62,232.54,0,0,48.31,66.93,6.67,0.69,3.79,0,0,10.74,0,0,0.82,0.64,13.99,0,0,0,0,0
 36-46,0,0,0,1.68,2.01,0,1.38,0,0,12.45,0,0,0,0,0,0,1.09,0,0,33.78,0,0,1.95,152.84,0,0,1.57,0,0,12.97,0,0,1.8,0,30.06,0,0,0,0,0
 48-58,0,0,0,6.59,0,0,20.77,6.91,0,13.31,5.32,0,0,0,0,0,0,0,6.25,10.05,0,0,6.07,830.37,0,0,0,0,0,20.73,0,0,0.38,0,6.58,0,0,1.07,0,0
 60-70,0,0,0,15.78,0,0,57.2,0,0,53.79,0,0,0,0,2.65,0,0,0,0,19.1,0,1.33,0,2409.03,0,0,0,0,0,19.22,0,0,1.17,0,16.74,0,0,0,0,0
 72-82,0,0,0,3.09,5.57,0,174.37,1.08,0,175.39,0,0,0,0.81,0,0,1.12,0,13.36,53.87,3.55,0,1.64,2878.44,0,0,1.42,0,0,8.56,0,0,3.36,0,29,0.53,0.72,2.93,1.04,24.48
 84-94,0,0,0,22.36,0,1.17,117.37,0,0,116.33,2.83,0,1.27,2.47,1.56,0,0,0,3.18,41.96,0,2,0,2710.69,0,0,0.88,0,0,20.17,0,0,0,0,27.27,0,0,0,0,0
 96-106,0,0,0,13.9,7.62,0,86.98,0,0.62,243.7,2.21,0,0,2.3,1,0.63,0.82,0,0,39.22,0,4.99,2.04,2205.79,0,0.57,1.15,0,1.51,7.17,0,0,0,0,32.24,0.62,0,0,0,0
108-118,0,0,0,14.21,3.19,0.81,85.11,0,1,218.79,1.22,0,0,0.43,0.64,0,0,0.44,0.52,42.62,0,0,0.77,3206.07,0,2.23,1.28,0,0,4.86,0,0,0,0,5.57,0,1.25,1.62,0,0
120,0,0,0,45.96,2.06,1.03,119.07,2.77,3.17,212.61,3.02,0,0,3.61,0,0,4.85,26.09,0,27.81,1.16,8.85,0,4333.26,7.14,0,0,0,5.46,3.35,0,0,3.15,0,26.82,2.39,0,5.43,0,0
