stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord
  3-4,0,22.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,46.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.48,4.86,0,0,0,0,0,0,0,22.96,0,18.23,0,0,0,0
 10-12,0,4.08,37.86,0,0,6.25,0,0,0,55.5,11.53,5,0,0,0,0
 14-21,0,0,0,0,0,0,1.02,0,0.93,14.23,0,0,0,0,1.23,2.74
 24-34,0,0,0,0,0,0.77,1,0,0.72,12.29,0,0,0,0.9,0,3.67
 36-46,0,0,0,0.58,0,0,0,1.82,0,11.1,0,0,0,0,0,1.92
 48-58,0,0,0,0,0,0,0,3.98,0.4,13.64,0,0,0,0,0,0.68
 60-70,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,1.41
 72-82,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0
 96-106,0,0,0,0,2.23,0,0,1.04,0,1.71,0,0,1.45,0,0,0
108-118,0,0,0,0,0,0,2.2,2.28,0,0,0,0,0,6.18,0,0
