stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,45.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,0,0,0,0,0,0,0,0
 14-21,0,0,6.34,0,0,0,0,0,0,25.14,0,29.87,5.24,0,1.51,0,0,0,15.03,1.86,1.58,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,37.31,0,14.27,22.23,0,2.48,0,0,0,0,0.6,1.5,0,0.59,0
 36-46,0,0,0,0.65,0,0,0,0,0,16.24,0,4.08,63.33,0,0,0,0,0,0,0,1.9,0,0,0
 48-58,0,0,0,8.68,0,0,0,0,0.4,25.95,0.42,3.38,50.39,0,1.14,0,0,0,0,0,0,0,0,0
 60-70,0,0.71,0,12.68,0.81,0,0,0,0,20.34,0.6,0,142.28,0,0,0,0,0,0,0,1.39,1.26,0,0.71
 72-82,0,0,0,4.36,3.4,0,0.58,0,0,11.84,2.87,0.59,155.82,0,1.83,0,3.52,0,0,0,1.03,9.08,0,22.18
 84-94,0,0,0,31.05,2.11,1.58,0,0.57,0,9.69,4.71,0.81,155.29,0,0,0,1.75,0,0,0,0,9.7,0,36.39
 96-106,0,0,0,20.19,0.75,0,0.73,0,0,9.53,0,0,147.79,0,1.44,0,6.09,0.72,0,0,2.07,10.45,0,44.47
108-118,0,4.46,0,14.84,2.45,0.59,1.01,0.42,0,3.47,2.66,1.14,180.13,0.57,1.62,0,0,0,0,0,2.66,5.9,0,47.28
120,0,0,0,32.4,0,0,0,0,0,3.96,30.31,0,349.25,0,2.2,0,0,0,0,0,0,0,0,80.92
