stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,9.06,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.86,0,0,0,0,0,0,0,5.97,0,9.14,0,0,0,0
 14-21,0,0,0,1.24,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,1.41,0,0,1.45,0,0,0
 36-46,0,0,0,0,0,1.19,0,0,0,0,5.76,0,0,0,0,0,0,7.75,0,0,0,0,3.01,1.99
 48-58,0,0,0,0,0,3.13,0,0,0.77,0,0,0,0,0,0,0,0,5.38,2.59,0,0,0,0,0
 60-70,0,0,0,0,0,3.56,0,0,10.18,0,0,55.18,0,3.05,1.82,0,0,1.7,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.54,0,0.59,16.4,0,0,115.61,0,1.26,3.19,0,0.77,13.86,0,0,0.94,0,0,0
 84-94,0,0,0,0,0,11.54,0,0,27.36,0,0,54.45,0,0.68,7.44,0,0,4.33,0,0,3.97,0,0,0
 96-106,0,0.72,0,0,0,4.5,0.66,0,120.75,0,0,28.09,0,13.01,2.22,0.7,0,46.92,0,0,1.31,0.83,0,0
108-118,1.78,0,0.89,0,0.64,11.34,0,0,162.57,0,0,47.11,0.78,20.71,3.13,0,0,38.5,0.67,0,10.59,3.36,0,0
120,0,0,0,0,0,0,0,0,140.65,0,0,13.26,0,33.7,0,0,0,59.75,0,0,0,0,0,5.74
