stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  3-4,0,12.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.39,51.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,28,0,0,4.29,0,0,0,0
 10-12,0,0,12.03,0,0,7.95,0,0,0,0,0,0,0,0,0,0,0,0,0,22.83,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,0,0,0,0,0,1.05,0
 24-34,0,0,0,1.21,0,0.84,0,0,0,1.21,0,0,0,0,0,0,0,0,0,9.23,0,0,0,1.47,0,6.77,0
 36-46,0,0,0,1.24,0,0,3.78,0,0,0,0,0,0.78,0,0,0.67,0,0,0,16.06,0,0,0,2.45,0,5.94,0
 48-58,0,0,0,0,0,2.43,0,0,0,0.37,0,0,0,0,0,1.19,0,0.77,0,23.84,6.68,0.67,0,2.81,0,5,0
 60-70,0,0,0,0.6,0,26.58,0,0,0,0,1.38,0,0,0.82,0,0,0,0,0,29.25,3.66,2.3,0,2.45,0,0.76,0
 72-82,0,0,0,2.17,0,6.14,0,0,0,0,0,0,0,0,0,1.22,0,0,0,11.98,12.56,3.04,0,10.16,0,2.86,0
 84-94,0,0,0,0.67,0,11.25,0,0,0.89,0.86,0.94,0,10.64,0.87,1.19,0.97,0.62,0,0,12.88,0,9.5,0,10.53,1.44,3.46,0
 96-106,0,0,0,2,0,6.17,0,0,0,0,0,0,0,1.3,0,0,0,0,0,10.05,1.51,4.86,0,8.54,0,0,0
108-118,0,0,0,9.22,0.42,2.54,0,0.43,1.07,0,1.77,0,2.7,0.97,0,1.21,1,0,2.38,17.14,6.12,1.18,0,4.97,0,0,1.35
120,0,0,0,0,0,0,0,0,0,5.62,2.75,0,0,0,0,2.6,5.62,0,0,8.58,6.49,1.61,0,1.56,1.74,0,0
