stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,36.4,592.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.28,0,0,0,0,0,0,0,0,0,0
  5-6,16.11,241.63,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.12,0,12.6,0,0,0,16.09,0,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0,134.71,4.82,0,0,43.08,8.5,5.28,0,0,0,0,0,0,0,0,0
 10-12,0,14.61,0,34.83,0,16.41,0,7.72,0,0,0,0,8.04,0,0,0,0,0,0,0,0,0,0,248.37,0,0,0,51.96,0,0,0,5.29,0,0,0,0,0,0,0
 14-21,0,0,1.09,5.03,32.99,2.6,0,1.58,0.87,0,0,1,0,0,0,1.86,0,0,0,7.92,0,0,2.64,22.55,0,0,0,0,30.53,0,10.23,3.6,0,6.82,0,0,0,0,0
 24-34,0,0,0,0,8.95,0,0,4.38,1.64,0,0,1.25,0,0,0,2.47,0.78,0,0,1.7,2.05,0,2.79,39.61,0,8.82,2.93,0,66.29,0,0,4.43,2.23,13.25,0,0,0,0,0
 36-46,0,0,0,0,9.41,0,0,0,1.71,0,1.53,0.66,0,1.67,0,1.35,1.18,0,0,6.94,0,0,1.75,53.35,0,7.78,2.27,0,58.82,0,0,2.51,0,11,0,0,0.65,0,0.92
 48-58,0,0,0,0,1.41,0,0,7.99,9.78,0,4.88,0,0.37,0.78,0,0,1.61,0,1.21,7.96,0.37,0,0,69.39,6.16,6.51,2.11,0,72.21,0,0,1.09,0,7.31,0,0,0,0,0
 60-70,0,0,0,5.58,10.07,0,0,3.39,5.11,0,1,0,0,0,0,0,4.62,0,0,7.62,0.62,0,0.77,82.3,0,0.99,0,0,71.36,0,0,2.46,0,0.7,0,5.55,0,0,0.97
 72-82,0,0,0,0,19.41,0,0.72,13.93,0.78,1.96,0.59,4.41,0,0,0,1.62,2.42,0,0,5,0.73,0,2.1,45.68,0,1.63,0,0,43.58,0,0,1.88,0,3.93,0.5,0,0,0,0.9
 84-94,0,0,0.94,0,17.06,0,0,16.02,0,0.75,0,6.04,0.99,0,0,4.08,0,0,0,7.14,0,0.72,1.47,75.69,2.86,2.89,6.36,0,129.89,0,0,2.64,0,4.98,2.04,0,0,0,0
 96-106,0,0,2.57,0,27.52,0,0,8.43,7.8,0,7.68,5.11,0,0,2.66,4.93,9.61,0,0,3.76,3.45,0,1.52,23.7,1.33,10.23,2.92,0,129.21,0,0,2.29,0,0,2.04,0,3.58,0.75,0
108-118,0,0,0,0,28.58,1.94,0.74,6.61,0.74,0,0,4.24,0,0,0.73,3.72,0,0.5,0,12.61,0,0,0,24.69,2.51,1.81,6.34,0,84,0,0,0,0,0,2.12,0,0,0,0.59
120,0,0,0,0,15.8,0,0,0,1.77,0,1.68,17.26,0,0,0,1.25,0,0,0,2.46,12.8,0,0,48.86,0,10.58,2.46,0,50.75,0,0,3.93,0,2.96,0,0,0,0,0
