stage,epidermis,eye,immune,mesenchyme,neural,otic,pericytes,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,6.05,0,0,0,0
 14-21,1.17,0,0,0,7.99,0,0,0,0
 60-70,0,1.99,0,0,0,0,0,0,0
 72-82,0,0,0,0.71,0,0,0,0,0.64
 96-106,0,0,1.56,1.58,0,0,0,0.77,0
108-118,0,0,1.65,4.27,0,0.43,1.91,0,0.83
120,0,0,1.53,1.56,0,2.55,0,0,0
