stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,210.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.72,129.33,0,0,0,0,0,0,0,0,0,0,0,0,28.59,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.53,0,0,3.88,0,0,3.22,0,0,0,0,0,76.41,11.54,0,59.4,0,0,0,0,0,0
 10-12,3.8,0,3.45,0,0,12.06,0,0,0,0,0,0,0,0,32.56,4.18,0,43.45,0,0,5.05,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,5.06,0,0,3.25,0,0.99,1.17,0,0.82,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,10.8,5.54,0,0,0,0,0.69,2.97,0,0
 36-46,0,0,0,0,0,3.38,2.88,1.66,0,0,0,0,0,0,13.67,0.72,0,0,0,0,0,3.2,0,0
 48-58,0,0,0,0,0,14.68,1.11,1.81,0,0,0.87,0.47,0,0,32.8,0,0,0,0.37,0,0,13.59,1.59,0
 60-70,0,0,0,0,0,6.77,0,1.1,0,3.46,0,0,0,2.6,16.27,1.28,0,0,0,0,0,4.75,0,0
 72-82,0,0,0,0.95,6.04,0.76,0,7.35,0,0,0,4.11,1.09,0,24.12,1.67,0,0,0,0,0,7.11,0,5.9
 84-94,0,0,0,1.06,0,3.22,0,6.04,0,2.89,0,3.89,0,0,7.89,0,0,0,0,0,0,5.91,0,0
 96-106,0,0,0,0,0,2.58,2.82,18.9,0,1.44,1.86,5.4,0,0,20.78,0,0,0,0,0,0,0,0,0.91
108-118,0,0,0,0,0.54,3.05,0,11.97,0,1.15,1.2,1.18,0.69,0,18.84,1.13,0,0,0,0,0,2.69,0,0
120,0,0,0,1.4,0,0,0,43.07,0,0,1.61,0,0,0,37.89,1.66,1.32,0,0,0,0,0,0,0
