stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,137.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.05,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,27.59,0,0,0,8.73,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,107.84,41.5,0,0,48.16,0,0,0,8.87,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,13.8,0,2.74,0,0,0,4.31,0,0,2.2,0,0,0,14.42,0,19.98,37.06,63.56,0.92,0,0,0,0,4.25,0,69.13,10.95,7.47,0,0,5.77,0,0
 24-34,0,0,2.3,14.72,0,6.47,0,0,0,0,1.61,1.11,0,0,0,0,24.07,0.81,35.06,55.36,31.87,0,3.09,0,0,0,0,0.97,79.62,3.49,12.96,0,0,26.34,0,0
 36-46,0,0,0,9.42,0,2.78,1.04,0,1.19,9.86,0,0,3.61,0,0,0,58.72,1.47,18.54,36.68,19.43,0,0.81,0,0,0,0,0,97.03,1.09,18.77,0,0,5.1,0,0
 48-58,0.77,0,0,4.52,0,3.94,1.02,0,0,4.3,0,0,2,0,2.22,0,37.52,2.07,27.23,64.81,17,0,1.12,0,0,0,0,0,88.97,0,6.05,0,0,9.67,0,0
 60-70,0,0,0,7.67,0,35.44,10,2.18,1.64,11.55,0,0,0,4.08,0,0,31.62,3.67,21.51,97.9,6.44,0,0.76,0,1.19,1.32,0,0,42.18,0,12.28,0,2.64,2.99,0,0
 72-82,0,0,0,3.13,0,25.85,14.57,0,0,50.12,0.81,0.55,0,0.9,0,0,57.81,2.71,22.9,75.28,4.41,0,1.78,0,0,0.66,0,0,14.14,0,1.41,0,0.53,17.09,0,0
 84-94,0,0,0,5.67,0,17.31,9.63,0,0.83,38.42,0,0,0,1.57,0,0,40.93,6.88,21.15,57.29,1.65,0,4.58,0,0,7.69,0,0.62,20.66,0,10,0,0,13.5,1.55,9.43
 96-106,0,0,0,0.65,5.99,11.55,4.2,0,1.54,98.28,0,0,2.65,0.95,1.45,0.98,30.34,5.23,10.34,45.77,3.96,0,5.07,1.2,0,0,0,0,16.88,0,0,0,0,18.78,0,0
108-118,0,0,0.45,2.82,0,28.77,23.32,0,0,57.07,0,0,0,0,0.81,0,31.01,0.5,18.5,42.43,4.64,1.3,11.2,0,0.91,0.93,0,0,27.33,0,4.67,0.91,0,26.26,2.7,0
120,0,0,0,0,0,28.65,14.11,2.37,2.66,18.38,0,0,0,0,0,0,12.45,2.61,12.77,34.68,0,0,1.4,0,0,0,0,1.86,7.85,0,0,0,0,19.92,0,0
