stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,37.39,0,0,0,0,0,0,0,0,0,0,0,17.48,0,0,0,0,0
  5-6,11.85,25.54,0,0,0,0,0,0,0,0,0,0,0,33.18,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,15.63,0,8.17,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.11,0,0,12.22,0,20.44,0,0,0,0,0,0
 14-21,0,0,3.7,0,0,0,0,0,0,0,10.22,3.1,0.8,2.56,1.19,4.28,0,0,0
 24-34,0,0,0,0,1.99,0.92,0,0,0,0,19.44,0.69,0,0,0,0,1.68,0,0.91
 36-46,0,0,0,0,1.62,0,0,0,0.68,0.85,15.68,2.76,0,0,0,3.16,0.63,0,0
 48-58,0,0,0,0,6.46,0.45,0,0,1.38,0,9.32,6.82,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.86,3.47,0,0,0,0,6.69,12.28,0,0,0,1.35,0,0,0
 72-82,0,0,0,10.19,1.32,0.71,0,0,2.12,0,2.23,9.94,0,0,0,1.19,0,0,0
 84-94,0,0,0.9,5.95,0.94,6.55,0,0,3.79,0,8.77,15.6,0,0,0,0,0,0,0
 96-106,0,0,0,36.7,1.64,0.81,0,0,1.79,0,0.84,9.92,0,0,0,0,0,0,0.58
108-118,0,0,0,6.33,1.8,0.53,0,0,3.02,0,0.95,24.4,0,0,0,0,0,1.79,0
120,0,0,0,0,1.85,0,10.73,0,12.47,0,12.6,11.28,0,0,0,0,0,0,3.15
