stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
 14-21,0.98,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0.85,1.02,0,0
 24-34,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0.56,1.44,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,4.08,4.46,0,0,0,1.03,0,0
 72-82,0,0,1.41,0,0.69,0,1,0.65,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.21,0,5.28,0,0,1.44,0,0,0,0,0,7.74,1.13,1.75,0,0,0,0,0
 96-106,0,0,15.85,5.18,0,0,1.38,0,0,0,0,0,3.5,0,9.67,0,0,0.65,0,0,9.63,0
108-118,0,0,9.46,9.59,0.46,0,9.41,0,0,0,3.2,0.76,3.54,0,7.26,0,5.59,6.21,0,0,0,1.93
120,0,2.52,8.53,0,0,0,11.19,0,0,3.45,0,0,40.8,0,47.11,4.78,0,0,0,0,1.72,0
