stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,492.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.41,0,0,0,0,0,0,0,0,0
  5-6,39.1,184.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,6.94,0,0,0,0,0,0,0,0,0
  7-9,4.21,8.28,0,0,0,17.33,0,0,0,0,0,9.48,0,0,0,0,0,0,0,0,0,0,0,171.11,34.06,0,0,61.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,73.36,0,0,30.14,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,331.74,38.15,0,0,146.82,0,3.81,0,24.94,0,0,0,0,0,0,0
 14-21,0,0,2.61,10.84,2.87,0,0,0,0,3.03,2.5,0,0,0,0.9,0,0,0,0,1.56,0,0,2.78,30.36,4.14,1.84,0.9,1.89,0,9.65,0.89,2.56,0,5.74,25.68,0,0,4.76,0
 24-34,0,0,0,5.41,0,10.64,0,0,0.74,3.1,0,0,1.94,0,0,0.85,1.08,0,0,23.29,0,0.69,7.61,86.76,1.33,1.63,2.99,0,0,14.55,0,0,0,2.05,27.66,0,0,7.42,2.08
 36-46,0,0,0,2.69,0,33.03,0,1.38,0.88,7.88,0.59,0,0,0,0,0,0,0,1.66,22.94,1.78,0,4.13,113.43,0,2.39,0.61,0,0,31.85,0,0,0,0,28.18,0,0,8.12,0
 48-58,0,0,0,0.92,0,17.84,6.77,0.81,0.85,17.65,0,0,0,0,0,0,2.21,0,0.43,30.94,0.97,1.68,2.95,117.04,0,0,0.87,0,0,13.9,0,0,0,0,33.88,0,0,6.7,0.54
 60-70,0,0,0,6.74,0,74.95,3.03,0,1.67,19.93,0.64,0,0,0,0,0.82,1.29,0,0,26.99,7.18,0.84,5.45,140.91,0,1.15,11.84,0,0,9.26,0,0,0,0,25.62,0,3.38,11.05,0
 72-82,0,0,0,1.9,0,50.67,7.1,2.19,1.8,11.33,3.71,0,0,2.76,0,0,3.34,0.79,0,23.37,1.72,1.89,2.06,82.89,0,1.23,2,0,0,16.81,0,0,0,0,10.43,1.55,1.84,4.46,0
 84-94,0,0,0,7.17,0,48.73,0.66,0,0,16.65,2.42,0,0,2.15,2.14,1.28,0,0,3.63,33.07,2.34,0.98,2.08,83.99,0,0,2.76,0,0,18.95,0,0,0,0,6,1.11,0,17.7,0
 96-106,0,0,0,2.67,0,33.96,0,0.59,4.55,15.79,5.78,0,1.46,0.66,0.91,0.74,0.63,0,0.57,19.67,8.65,0,2.46,56.56,0,1.89,2.29,0,0,17.43,0,0,0,0,3.17,2.17,0,15.95,0
108-118,0,0,0,12.29,0,32.51,0.55,1.64,0,20.92,0.86,0,0,1.45,1.55,2.23,0,0,0.61,16.08,1.01,0,2.29,50.12,2.13,2.03,7.79,0,1,15.46,0,0,0.43,0,0,3.84,0,4.87,0
120,0,0,0,9.28,0,23.28,1.04,0,0,9.5,25.37,0,0,3.03,0,12.97,1.77,0,0,18.75,1.47,1.38,9.46,53.69,0,1.48,0,0,0,8.88,0,0,0,0,0,3.81,0,14.95,0
