stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,10.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.41,0,0,0,11.63,0,0,0,0,0,0
 14-21,0,0,3.79,1.75,0,0,0,0,0,0,0,1.7,0,0,0,0,1.21,8.67,1.51,0,0,16.18,1.41,0,0.88,8.97,0,0
 24-34,0,0,2.22,0,0,0,0,0,0,0.67,0,3.7,0,0,1.89,0,0,65.97,2.24,0,0,37.5,0,0,0,19.12,0,1.14
 36-46,0,0,0.55,0,6.01,0,0.63,0,0.59,0,0,1.19,0,0,3.97,0.58,0,240.46,12.21,0,0,66.78,0,0,0,44.09,0,0
 48-58,0,0,5.75,0,34.27,0,0.41,0,0.54,0,0,1.83,0.85,0,1.77,0,0,319.31,6.25,1.2,0,8.82,0,0,0,42.92,0,0.8
 60-70,0,0,3.51,0,118.97,5.16,5.89,0,0,0,0,0,0,0,4.87,0,0.62,631.49,8.08,0.63,0,5.37,0,0,0,63.54,0,0
 72-82,0,0,3.38,4.15,112.04,0,5.06,0,0,0,0,2.76,0,0,7.37,0,0,503.25,22.41,5.98,0,0.97,0,0.53,0,55.8,0,3
 84-94,0,0,1.17,0,82.24,4.43,3.72,1.06,0.71,0,1.19,1.91,0,2.31,0.66,0,0,276.44,9.67,6.66,2.3,11.57,0,0.93,0,33.1,1.5,0
 96-106,0,0,6.51,0,61.49,2.62,10.24,0.93,0,0,0,5.36,0,2.76,10.47,0,0.79,237.53,57.33,11.87,0,1.53,0,0,0,20.47,2.39,0
108-118,0,0.77,5.27,0,78.93,1.77,1.93,0,0,1.27,0,3.83,0.56,0.52,3.18,0,0,334.71,17.33,6.22,0,2.85,0,0,0,15.76,0.54,0
120,0,0,9.49,0,45.98,0,11.66,0,0,0,0,0,0,4.14,6.41,0,0,496.65,13.78,10.78,0,1.08,0,0,0,7.12,0,0
