stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,140.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0
  5-6,384.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,0,0,0,0,0,0
  7-9,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,230.2,6.92,0,71.42,0,0,0,0,0,0,0
 10-12,0,0,0,0,15.54,0,0,0,0,3.05,0,0,0,0,0,0,0,0,42.18,0,0,26.92,0,0,0,0,0,0,0
 14-21,0,0,0,1.2,0,0,0,0,0,0,0,0,1.8,0,0,0,0,3.38,9.31,1.26,0,2.86,0,5.91,1.81,5.23,0,0,0
 24-34,0,0,0,0.66,3.41,0,0,0,0,0,0.67,0,0,0,7.1,0,0,1.48,45.73,0,0.82,0,1.34,0,1.96,8.95,0,3.48,0
 36-46,0,0,0,0,4.07,0,0,8.53,0,0,0,0,0,2.45,2.84,0,0.71,0,76.17,4.42,0,0,14.52,0,0,11.74,0,0,0
 48-58,0,0,1.06,0,8.2,0,0.38,2.34,0,0,0,0.56,0.38,0,1.79,0,0,3.6,34.76,0,0.52,0,8.39,0,0,10.88,0,0,0
 60-70,0,0,0,0,12.48,0,0,2.83,0,0,0,0.57,0,0,8.04,0,0,1.77,16.17,0,0.81,0,11.66,0,0,1.26,0,0.72,1.17
 72-82,0,0,0.98,2.03,6.61,0,0,2.09,0.81,0,0,0,0,0,3.39,0,0,0,26.18,0,2.8,0,2.58,0,0,11.55,0,0,0
 84-94,0,0,0,2.8,5.14,0,0,1.97,0,0,0,0,0,0,3.54,0.89,0,0,29.76,0,0.91,0,9.41,0,0,0,0,0,0
 96-106,0,0,0,2.27,14.04,0,0.84,4.62,0,0,0,0.75,0,0,2.5,0,0,0,36,0.58,1.63,0,19.18,0,0,0,1.76,0,0
108-118,0,0.74,2.51,2.23,2.54,0,0,7.76,0,0,0,0,0,0,1.27,0,0,0,25.42,0,6.87,0,5.71,0,0,9.43,0,0,0
120,0,0,0,0,0,2.75,0,11.89,0,0,0,0,0,0,6.12,0,0,0,23.4,0,0,0,6.58,0,0,9.43,0,0,0
