stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,98.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,114.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.97,0,0,0,0,0,0,0,0,0,52.85,0,0,0,14.53,0,0,0,0,0,0
 10-12,0,0,0,0,22.3,0,0,0,0,0,0,0,0,0,34.43,4.42,0,0,13.36,0,0,0,0,0,0
 14-21,0,0,2.22,0,0,0,0,0,1.08,0,0,0,2.07,3.32,10.41,2.18,0.85,0,2,0,1.59,3.72,9.83,1.06,0
 24-34,0,0,0.84,0,1.28,0,0,1.33,0,0,0,0,3.61,0.91,33.9,3.71,1.62,0,0,4.1,0,1.58,7.02,0,0
 36-46,0,0,0,0,1.17,0,0,3.36,0,0,0,0,0,0.74,31.07,6.54,0,1.05,0,0,0,0,5.38,0,0
 48-58,0,0,0.97,0,3.89,0,1.04,1.4,0,0,0,0,4.54,0.94,18.02,12.51,1.09,2.05,0,0.38,0,0,3.78,0,0
 60-70,0,0,4.58,0,10.05,0,0,0,0,0,0,0,8.42,0,22.59,10.65,1.08,0,0,1.48,0,0,0,0,0
 72-82,0,0.68,0,0,15.95,0,0.54,1.31,0,7.82,4.27,0.68,4.49,0.6,31.77,3.87,0,0,0,3.41,0,0,1.46,0,0.92
 84-94,0,0,0,0,5.89,0,0,0.69,1.45,3.57,0,0,3.11,0,5.36,7.39,0,0,0,3.85,0,0,4.53,0,0
 96-106,0,0,1.99,0,13.8,1.25,0,6.5,1,29.38,0,0,10.46,0,8.54,7.64,0,1.27,0,0,0,0,0,0.68,0
108-118,0,0,3.51,1.08,4.26,0.43,1.39,0,0,20.37,0,0,10.22,0,23.96,12.03,0,0,0,1.52,0,0,0,0,0
120,0,0,1.94,0,4.02,0,8.03,0,0,32.98,0,0,4.82,0,15.24,12.97,0,0,0,8.58,0,0,8.64,6.37,0
